,9CL_Bc65_Bc01,9CL_Bc65_Bc03,9CL_Bc65_Bc04,9CL_Bc65_Bc05,9CL_Bc65_Bc06,9CL_Bc65_Bc07,9CL_Bc65_Bc08,9CL_Bc65_Bc09,9CL_Bc65_Bc10,9CL_Bc65_Bc11,9CL_Bc65_Bc12,9CL_Bc65_Bc15,9CL_Bc65_Bc16,9CL_Bc65_Bc17,9CL_Bc65_Bc18,9CL_Bc65_Bc19,9CL_Bc65_Bc20,9CL_Bc65_Bc22,9CL_Bc65_Bc23,9CL_Bc65_Bc24,9CL_Bc65_Bc25,9CL_Bc65_Bc26,9CL_Bc65_Bc27,9CL_Bc65_Bc28,9CL_Bc65_Bc29,9CL_Bc65_Bc30,9CL_Bc65_Bc31,9CL_Bc65_Bc32,9CL_Bc66_Bc01,9CL_Bc66_Bc04,9CL_Bc66_Bc05,9CL_Bc66_Bc06,9CL_Bc66_Bc07,9CL_Bc66_Bc08,9CL_Bc66_Bc09,9CL_Bc66_Bc10,9CL_Bc66_Bc11,9CL_Bc66_Bc12,9CL_Bc66_Bc13,9CL_Bc66_Bc14,9CL_Bc66_Bc15,9CL_Bc66_Bc16,9CL_Bc66_Bc17,9CL_Bc66_Bc18,9CL_Bc66_Bc20,9CL_Bc66_Bc22,9CL_Bc66_Bc23,9CL_Bc66_Bc25,9CL_Bc66_Bc26,9CL_Bc66_Bc27,9CL_Bc66_Bc28,9CL_Bc66_Bc29,9CL_Bc66_Bc30,9CL_Bc66_Bc31,9CL_Bc66_Bc32,9CL_Bc67_Bc01,9CL_Bc67_Bc02,9CL_Bc67_Bc03,9CL_Bc67_Bc04,9CL_Bc67_Bc05,9CL_Bc67_Bc06,9CL_Bc67_Bc07,9CL_Bc67_Bc08,9CL_Bc67_Bc09,9CL_Bc67_Bc10,9CL_Bc67_Bc12,9CL_Bc67_Bc13,9CL_Bc67_Bc14,9CL_Bc67_Bc17,9CL_Bc67_Bc18,9CL_Bc67_Bc19,9CL_Bc67_Bc24,9CL_Bc67_Bc25,9CL_Bc67_Bc26,9CL_Bc67_Bc27,9CL_Bc67_Bc28,9CL_Bc67_Bc29,9CL_Bc67_Bc30,9CL_Bc67_Bc31,9CL_Bc67_Bc32
CKS1B,41.0,0.0,18.0,6.0,3.0,11.0,74.0,11.0,5.0,11.0,31.0,7.0,2.0,4.0,14.0,30.358,0.0,8.0,29.0,12.0,2.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,29.993,16.0,4.0,1.0,14.0,0.0,5.0,58.0,7.0,15.0,7.0,3.0,20.0,8.0,3.0,8.0,12.0,20.0,24.0,3.368,7.0,8.0,1.0,4.0,21.0,1.0,3.0,10.0,3.0,7.0,10.0,35.0,21.0,10.0,46.0,0.0,2.0,0.0,40.0,3.0,13.0,5.0,5.0,23.0,6.0,2.0,0.0,1.0,1.0,11.0,11.0,9.0
SLBP,2.0,3.0,0.0,5.0,1.0,6.0,11.0,2.0,1.0,11.0,1.0,2.0,1.0,0.0,3.0,3.0,2.0,1.0,3.0,3.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,0.0,6.0,10.0,1.0,2.0,4.0,2.0,0.0,8.0,6.0,3.0,4.0,0.0,1.0,2.0,4.0,5.0,6.0,7.0,22.0,0.0,10.0,5.0,2.0,4.0,5.0,2.0,0.0,3.0,1.0,8.0,8.0,2.0,5.0,5.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,5.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,5.0,1.0
EIF3CL,0.0,0.0,0.0,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.196,25.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.951,7.751,30.564,1.99,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HSPB1,25.0,96.0,31.0,37.0,22.0,23.0,75.0,27.0,9.0,24.0,21.0,21.0,9.0,14.0,13.0,0.0,4.0,8.0,6.0,8.0,1.0,8.0,6.0,12.0,11.0,78.0,63.0,20.0,63.0,5.0,5.0,9.0,30.0,14.0,0.0,28.0,30.0,7.0,35.0,26.0,29.0,13.0,18.0,45.0,10.0,39.0,160.999,40.0,34.0,29.0,12.0,10.0,58.0,9.0,1.0,20.0,22.0,5.0,25.0,22.0,7.0,17.0,24.0,2.325,10.0,4.0,5.0,13.0,9.0,18.0,29.0,15.0,20.0,5.0,138.999,24.0,10.0,9.0,4.0,7.0
PTPRU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
SF3B4,2.0,11.0,9.0,16.0,7.0,10.0,25.0,9.0,6.719,6.0,7.0,5.0,1.0,2.0,2.0,7.0,2.0,9.0,9.0,1.0,3.0,5.0,4.0,12.0,6.0,5.0,11.0,8.0,12.0,2.0,9.0,2.0,1.0,4.0,2.0,5.0,6.0,13.0,10.0,3.0,9.0,4.0,7.0,22.0,7.0,4.0,8.0,0.0,9.0,9.0,2.0,11.0,13.0,2.0,2.0,2.0,12.0,7.0,10.0,7.0,13.0,0.0,3.0,0.0,2.0,5.0,4.0,5.0,7.0,2.0,7.0,2.0,2.0,9.0,11.0,2.0,0.0,8.0,4.0,11.0
GRWD1,2.0,5.0,1.0,6.0,2.0,3.0,2.0,1.0,0.0,4.0,9.0,2.0,0.0,3.0,5.0,3.0,1.0,1.0,3.0,2.0,1.0,6.0,5.0,3.0,0.0,3.0,0.0,2.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,5.638,4.0,1.0,3.0,0.0,5.0,1.0,5.0,5.0,2.0,4.0,1.0,0.0,8.0,3.0,2.0,1.0,3.0,0.0,2.0,1.0,4.0,6.0,0.0,1.0,12.0,1.0,6.0,3.0,0.0,1.0,9.0,0.0,3.0,3.0,5.0,4.0,4.0,0.0,2.0,5.0,0.0,0.0,3.0,4.0
POLR2G,10.0,6.0,8.0,5.0,13.0,5.0,8.0,4.0,3.0,5.0,14.0,11.0,4.0,9.0,11.0,13.0,4.0,6.0,8.0,11.0,7.0,6.0,9.0,4.0,7.0,3.0,2.0,5.0,7.0,10.0,4.0,8.0,6.0,3.0,3.0,3.0,6.0,9.597,10.0,0.0,9.0,6.0,3.0,2.0,8.0,6.0,2.0,2.0,5.0,6.0,7.0,13.0,13.0,5.0,6.0,4.0,18.0,3.0,9.0,15.0,13.0,16.0,12.0,2.0,7.0,4.0,6.0,5.0,8.0,9.0,7.0,10.0,4.0,4.0,0.0,4.0,4.0,1.0,2.0,4.0
RBM24,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0
CSRP2,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.072,0.0,4.0,0.0,0.0,4.0,1.0,1.0,9.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,2.0,3.0
SPTLC2,1.0,1.012,0.0,0.0,0.0,4.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,10.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
NDRG4,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
