,live_1,live_2,live_3,live_4,live_5,live_6,live_7,live_8,live_9,live_10,live_11,live_12,live_13,live_14,live_15,live_16,live_17,live_18,live_19,live_20,live_21,live_22,live_23,live_24,live_25,live_26,live_27,live_28,live_29,live_30,live_31,live_32,live_33,live_34,live_35,live_36,live_37,live_38,live_39,live_40,live_41,live_42,live_43,live_44,live_45,live_46,live_47,live_48,live_49,live_50,live_51,live_52,live_53,live_54,live_55,live_56,live_57,live_58,live_59,live_60,live_61,live_62,live_63,live_64,live_65,live_67,live_68,live_69
ABCG2,0.0,3.444907,0.0,0.0,0.0,0.0,1.8202809,0.0,0.95983076,0.0,3.3337088,1.0233977,0.0,1.7082481,2.274032,0.0,3.5089736,2.483555,0.0,1.4545093,2.428299,0.0,3.82186,0.0,0.0,1.3443683,2.5567093,3.0087993,0.11041119,0.0,1.8764038,1.8582262,1.8145349,0.19139993,1.7694298,0.0,0.0,1.471681,2.584361,1.5005358,1.2971798,0.0,0.8643624,0.0,3.4369338,0.0,0.0,0.0,0.0,2.1655383,0.0,0.0,0.0,2.6714416,0.0,1.3318747,2.781896,1.4056753,2.7987158,2.190371,2.176894,0.4107169,2.1909308,0.0,0.0,0.0,0.0,0.19745934
ZNF800,2.5831861,2.5679853,2.4184299,1.8613435,1.5900978,1.8167474,1.2244868,0.99083036,2.0006847,2.0217192,2.6322734,2.3444936,1.2072334,2.4172533,1.9510705,1.8666048,1.6623844,1.8510222,2.1509116,1.8990316,2.2550912,2.1898854,2.2293978,1.8842728,2.405057,1.2815017,2.2880068,1.1705573,1.2886683,2.3969815,2.2729657,2.1694427,1.995394,1.9433153,2.6428413,1.8299748,1.1814733,1.5934175,1.705904,1.6849502,2.2074366,1.4025134,2.0863867,1.0811844,1.6946232,1.8484353,2.1634943,1.7825799,2.1568022,2.2737377,2.1551805,0.72458595,2.2804344,1.6300895,1.8488129,0.42422295,1.605709,2.327405,2.3365152,2.72992,2.2081845,1.9504184,2.217407,0.83037055,1.7133126,1.714526,0.59954256,0.043783568
G3BP1,4.1137238,4.6287856,4.7772737,4.280197,4.5468197,4.06313,4.0172577,4.105524,4.825602,4.283239,4.3504276,4.5789537,4.169676,4.4624705,4.546144,4.362304,3.740807,4.0387087,4.4677315,4.6761556,4.540709,3.9245205,4.472512,4.8357143,1.0361425,4.231174,4.732631,3.8277376,4.153517,4.009877,3.8227744,3.0519848,4.9512534,4.2861595,4.3368764,3.117702,3.9910336,4.7444315,4.114246,3.8962812,4.3679185,3.570287,4.4368205,4.6321797,4.632174,4.756403,4.215283,3.5972943,4.4767537,4.053103,5.0597787,4.398542,3.9391446,4.5842485,3.767495,3.8855762,4.712009,4.287802,4.2711215,4.555105,4.578261,4.4736614,4.6298027,4.074622,4.4481444,5.0075474,4.5864267,3.5616245
LINC01213,2.4047487,3.933211,2.0422347,1.8301518,3.9070108,2.247637,4.2956104,2.919083,4.387635,0.0,4.2056317,2.2416759,3.7753396,2.2529821,3.815785,2.8683128,3.4874654,0.0,3.0717144,3.6639555,2.8196213,3.8223698,0.0,3.8120303,4.1073217,3.0269282,3.9556656,3.5912938,3.2449236,0.0,2.1809494,0.0,2.5799277,3.044247,2.1091917,3.9799526,2.5237994,3.3341725,4.5249047,3.1796918,4.3789687,2.631477,2.8510165,1.0282156,1.7773595,3.0337856,3.0724814,0.0,2.2398171,4.4749985,0.0,0.0,2.586424,2.867433,0.0,5.2908845,4.9481583,3.308779,4.718842,5.3334,3.9957404,3.150472,0.0,0.0,3.781061,3.8559337,0.94511336,3.2991464
GJA1,1.3383545,0.0,0.0,0.0,0.0,0.0,3.5883236,0.0,0.0,1.2032051,0.0,0.5970816,0.0,0.0,0.0,0.0,0.4078306,0.0,0.0,0.0,0.0,1.8210711,0.0,0.52959394,0.0,0.0,0.0,0.0,0.14191338,0.0,0.0,4.21945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9662397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6173248,0.0,0.0,0.0,0.0,0.0,1.8302662,0.0,0.0,0.0,0.0,1.5751932,1.6158265,0.0,0.0,2.4902744,0.0,0.0,0.0,0.0,0.2510233
MFAP2,2.3797102,1.102667,0.0,2.3372982,0.0,0.0,3.2080736,2.459418,0.0,1.7325369,1.660598,2.8514066,0.0,1.6823831,1.78312,2.3374414,0.0,0.0,0.0,1.7094492,1.9099807,0.0,0.0,0.0,0.0,0.0,1.0750127,0.8954491,1.7332569,0.0,0.7199616,2.6464624,2.3051996,0.0,1.645984,0.0,2.8805723,0.0,1.5477036,0.5631869,1.5824112,0.0,2.0778735,0.0,0.0,0.0,0.0,3.9035401,1.7402527,0.0,0.0,3.7312422,0.0,0.0,0.0,0.0,0.0,1.4392847,0.0,0.0,1.7272649,0.0,1.5872986,0.0,0.47630465,0.0,0.0,0.0
HNRNPM,4.7471447,4.731009,4.8492866,4.9348297,4.9872565,4.5212936,4.5093193,5.136549,4.888351,4.9070954,4.592058,5.387419,4.216055,4.8685093,4.902828,4.788715,4.339835,4.769098,4.811384,4.514255,4.5470343,4.011744,5.0082426,4.7393928,3.2627642,4.752113,5.0023074,4.7261443,4.343957,2.4717922,4.751215,3.603927,5.265329,4.894793,4.330865,4.415636,4.1188283,4.7359233,4.7378054,4.135275,4.7602816,4.814283,4.7196198,4.54055,4.730021,4.248058,5.0665603,5.41075,4.5828424,4.3729753,4.4687824,4.5725245,4.2279162,4.9474926,4.1524205,4.524772,4.5747004,4.783275,4.7565546,4.7308908,4.789703,5.0493336,4.5841074,4.418313,4.7677016,4.4665165,5.065321,3.441691
PKMYT1,4.0434856,4.0698647,3.9512377,4.2407513,4.262932,0.0,2.5393028,0.0,3.5007687,4.546605,3.9821563,4.6559525,0.0,4.883918,4.3273797,2.3517473,4.4887223,4.585079,3.881723,4.854793,4.666609,0.5653539,5.033946,3.9920902,1.6989912,4.1162148,3.8263261,4.308971,1.6623954,0.0,4.645152,3.7829947,3.8580766,0.9213037,4.403406,0.0,2.2140796,1.8772056,4.271294,0.0,0.0,0.0,4.116206,3.4579942,5.4508395,4.258665,4.5275073,2.2882943,4.734462,2.297362,0.0,1.6903247,4.631532,4.6598196,0.0,4.2498474,4.3127747,3.974331,4.4588675,2.68473,4.7503433,4.581949,4.993636,3.8084092,2.7769303,2.562759,4.5598807,0.3799874
LINC01264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9608633,3.5863051,0.0,0.9196333,2.2185197,0.0,0.0,0.0,0.0,2.399901,0.0,1.6825159,0.0,2.0955327,0.0,0.0,0.0,2.0277815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132495,0.0,0.0,0.0,0.0,0.0,1.7161231,0.0,2.469714,0.0,0.0,0.0,0.0,0.0,1.6036708,1.6026111,0.0,1.787975,1.8194637,0.0,0.0,0.0,0.0,0.0,1.8808763,0.0,0.0,0.0,0.0
NXNL2,2.3250313,1.5692631,1.4620005,2.3915377,1.4048526,3.123031,2.9459257,2.4073281,0.8118678,0.6581149,1.4730409,2.5136886,1.0446713,0.7591857,1.8458107,3.1162968,0.6973929,0.38243803,3.1820004,1.9277753,1.740354,0.0,0.0,2.4106998,1.8298286,1.5902431,2.750185,0.91679406,1.663628,3.6659987,2.885747,1.8106122,1.9497242,3.5484045,3.6047077,2.6315622,2.66648,0.63754934,1.357731,1.9687766,0.2690289,4.5673804,2.2394295,2.0479689,3.196934,3.1415827,1.9556262,2.9649436,3.5445778,0.7716437,2.2050943,1.0126615,2.1851194,2.3747408,4.0266685,2.108618,1.3739811,2.9446619,2.0154064,2.2019079,0.0,3.4217265,1.5552809,1.4836346,0.40299797,3.9154906,0.7872625,0.6485957
