""	9CL_Bc65_Bc01	9CL_Bc65_Bc03	9CL_Bc65_Bc04	9CL_Bc65_Bc05	9CL_Bc65_Bc06	9CL_Bc65_Bc07	9CL_Bc65_Bc08	9CL_Bc65_Bc09	9CL_Bc65_Bc10	9CL_Bc65_Bc11	9CL_Bc65_Bc12	9CL_Bc65_Bc15	9CL_Bc65_Bc16	9CL_Bc65_Bc17	9CL_Bc65_Bc18	9CL_Bc65_Bc19	9CL_Bc65_Bc20	9CL_Bc65_Bc22	9CL_Bc65_Bc23	9CL_Bc65_Bc24	9CL_Bc65_Bc25	9CL_Bc65_Bc26	9CL_Bc65_Bc27	9CL_Bc65_Bc28	9CL_Bc65_Bc29	9CL_Bc65_Bc30	9CL_Bc65_Bc31	9CL_Bc65_Bc32	9CL_Bc66_Bc01	9CL_Bc66_Bc04	9CL_Bc66_Bc05	9CL_Bc66_Bc06	9CL_Bc66_Bc07	9CL_Bc66_Bc08	9CL_Bc66_Bc09	9CL_Bc66_Bc10	9CL_Bc66_Bc11	9CL_Bc66_Bc12	9CL_Bc66_Bc13	9CL_Bc66_Bc14	9CL_Bc66_Bc15	9CL_Bc66_Bc16	9CL_Bc66_Bc17	9CL_Bc66_Bc18	9CL_Bc66_Bc20	9CL_Bc66_Bc22	9CL_Bc66_Bc23	9CL_Bc66_Bc25	9CL_Bc66_Bc26	9CL_Bc66_Bc27	9CL_Bc66_Bc28	9CL_Bc66_Bc29	9CL_Bc66_Bc30	9CL_Bc66_Bc31	9CL_Bc66_Bc32	9CL_Bc67_Bc01	9CL_Bc67_Bc02	9CL_Bc67_Bc03	9CL_Bc67_Bc04	9CL_Bc67_Bc05	9CL_Bc67_Bc06	9CL_Bc67_Bc07	9CL_Bc67_Bc08	9CL_Bc67_Bc09	9CL_Bc67_Bc10	9CL_Bc67_Bc12	9CL_Bc67_Bc13	9CL_Bc67_Bc14	9CL_Bc67_Bc17	9CL_Bc67_Bc18	9CL_Bc67_Bc19	9CL_Bc67_Bc24	9CL_Bc67_Bc25	9CL_Bc67_Bc26	9CL_Bc67_Bc27	9CL_Bc67_Bc28	9CL_Bc67_Bc29	9CL_Bc67_Bc30	9CL_Bc67_Bc31	9CL_Bc67_Bc32
TAF15	4.1362886428833	2.22607159614563	0.481818854808807	10.2709894180298	2.90642642974854	0.932093441486359	0	3.30119490623474	4.05600452423096	0.844824492931366	1.55879235267639	1.05392062664032	14.0521440505981	5.29562711715698	20.7435894012451	4.88577270507813	3.44521164894104	8.15412425994873	3.66719198226929	4.98753786087036	4.98658418655396	1.34289765357971	1.04414689540863	13.1317481994629	10.1164512634277	1.33910322189331	2.84364652633667	2.96084046363831	2.20458245277405	3.72069621086121	4.8801155090332	3.26407170295715	6.50826215744019	0.611367762088776	0	0.373582750558853	5.66522169113159	1.63934552669525	1.35626196861267	2.27040457725525	5.98043155670166	1.87221014499664	2.89403820037842	3.81540584564209	8.96487903594971	3.4859721660614	3.000972032547	2.93747878074646	0.592832624912262	3.33660864830017	1.67826247215271	3.05039286613464	4.68678426742554	1.14437317848206	0.642348945140839	0	2.78621435165405	3.71747541427612	1.83728528022766	4.18907451629639	4.60888814926148	0.717004597187042	6.40430212020874	3.49332284927368	1.06586098670959	9.82650470733643	2.27697896957397	3.24807739257813	12.2412538528442	3.78791999816895	2.59277176856995	3.49886631965637	6.79227113723755	9.69069576263428	0.739854097366333	0.627494096755981	4.04051876068115	0	7.33578491210938	5.9784426689148
KRT19	47.4680023193359	83.7002944946289	17.3454780578613	48.1946449279785	7.47366809844971	11.1851215362549	16.4011821746826	28.0601577758789	12.1680145263672	21.1206130981445	5.61165237426758	63.235237121582	0	11.7680597305298	46.4261283874512	9.77154541015625	41.3425407409668	32.6164970397949	7.33438396453857	58.4254455566406	36.1527366638184	60.8780250549317	19.8387908935547	20.7343406677246	43.8379554748535	59.8132781982422	103.793098449707	0	27.3368225097656	17.0088977813721	37.9564552307129	25.0245513916016	11.9318141937256	6.11367797851563	15.6950044631958	1.49433100223541	4.72101783752441	93.4426956176758	28.0294151306152	25.7312507629395	8.27272987365723	3.74442028999329	23.9791736602783	172.965057373047	5.08385992050171	23.2398147583008	25.0081005096436	25.4581489562988	23.7133045196533	18.1130180358887	99.0174865722656	75.8240509033203	62.7308006286621	0	2.56939578056335	46.9459037780762	2.78621435165405	264.682739257813	12.8609972000122	63.9129867553711	19.0939636230469	7.17004585266113	25.1760807037354	12.2266302108765	31.975830078125	25.7945747375488	35.6726684570313	16.2403869628906	2.62312579154968	41.2462387084961	40.4472389221191	12.9957895278931	22.2094898223877	37.6226997375488	4.439124584198	67.7693557739258	51.7186393737793	154.55290222168	0.978104650974274	85.1928100585938
NUDT7	0.730276942253113	0	0	0	0	0	1.36676526069641	0	0	0	0.623516917228699	0	0	1.17680597305298	0	0	0	0	0	0	0	0	0	0	1.12405014038086	0	0	0	0	0	0	3.26407170295715	1.08471035957336	0	7.8475022315979	0	0	4.09836387634277	0.90417468547821	0	0	0	4.13434028625488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.15101385116577	1.53703248500824	0	0	0	0	0	0	0	1.03710865974426	0	0	0	0	0	0	0	0	0
QKI	2.19083094596863	1.78085732460022	0.963637709617615	3.1603045463562	2.49122285842896	0.932093441486359	3.1891188621521	4.95179271697998	0	0	2.49469113349915	0	0	0	1.97557997703552	2.44288635253906	0	1.25448060035706	0	0	1.24664604663849	0	1.04414689540863	0	0	0	0	3.94515705108643	2.64549899101257	0	2.16894030570984	2.17604780197144	4.33884143829346	1.22273552417755	0	1.49433100223541	4.72101783752441	0	1.80834937095642	1.51360297203064	0.752066314220429	0	0.826868057250977	1.69573593139648	0	0	2.000648021698	0	0	0	0	4.35770416259766	0	4.57749271392822	0	0	1.67172873020172	0	0.612428426742554	1.11708652973175	2.63365030288696	2.15101385116577	2.04937672615051	1.74666142463684	0	1.22831308841705	3.03597187995911	1.62403869628906	0	0.841759979724884	1.03710865974426	1.99935221672058	2.46991682052612	0	1.47970819473267	1.25498819351196	0	1.18886852264404	2.93431401252747	0
GPKOW	2.19083094596863	2.67128586769104	0	0	0	0.932093441486359	0.455588400363922	1.65059745311737	1.35200154781342	0	0.623516917228699	0.702613711357117	0	1.17680597305298	1.97557997703552	0	0	0	0	7.12505435943604	2.49329209327698	0	0	1.38228929042816	1.12405014038086	2.67820644378662	0	0	0	1.06305611133575	2.16894030570984	2.17604780197144	0	0	2.61583423614502	1.49433100223541	0.944203615188599	0	1.80834937095642	3.02720594406128	0	1.87221014499664	0.826868057250977	0.847867965698242	0	0	0	3.91663837432861	0	0	0	0	0	0	2.56939578056335	0	1.67172873020172	1.48699009418488	1.22485685348511	0.558543264865875	0	0	0	1.74666142463684	1.06586098670959	1.22831308841705	2.27697896957397	3.24807739257813	0.874375283718109	0	2.07421731948853	1.99935221672058	0	1.14008176326752	0	1.25498819351196	0	2.37773704528809	1.95620930194855	0
RPL9	71.8833465576172	10.2773275375366	9.38486766815186	10.5483064651489	35.5622062683106	4.77604675292969	15.920991897583	2.17548751831055	93.5111923217774	0	8.53158187866211	6.98960161209106	3.51303601264954	2.76196360588074	4.42332363128662	13.5030546188354	18.1865825653076	18.7293968200684	8.34000968933106	2.20734190940857	1.80514347553253	12.9589624404907	1.42003977298737	18.5475578308105	60.6987075805664	11.5573539733887	12.2461633682251	5.03007507324219	23.643705368042	10.8038387298584	5.17183828353882	5.22686672210693	1.52293336391449	15.3428859710693	0	6.76707792282105	8.61585807800293	3.7319700717926	4.13388681411743	12.1814775466919	9.16693687438965	2.54620575904846	12.1160974502563	11.260534286499	1.35535705089569	5.61590147018433	11.6627779006958	5.95524835586548	19.3666553497314	4.45580244064331	2.35963702201843	5.63189649581909	18.628885269165	4.5797815322876	3.927321434021	1.32293570041657	21.7698097229004	1.03271472454071	8.84162902832031	16.2122764587402	6.19434547424316	6.36484956741333	9.03057765960693	5.37797069549561	7.86818599700928	10.0426874160767	32.7171478271484	0	4.21186590194702	7.2281928062439	13.9242210388184	5.39525175094605	85.2121276855469	7.00466251373291	33.8498039245606	1.69925391674042	0	60.6322937011719	1.37717139720917	64.2682571411133
UNC93A	0	0	0	0.79007613658905	0	0	0.455588400363922	0	0	0	0	0	0	1.17680597305298	0	0	0	3.76344203948975	0	0	0	0	0	0	0	0	0	0	0	1.06305611133575	0	4.35209560394287	0	0	0	0.747165501117706	0	0	0.90417468547821	0	0	0	1.65373611450195	1.69573593139648	0	0	0	1.95831918716431	0	0.953316748142242	0	0.871540784835815	0.721043705940247	2.28874635696411	2.56939578056335	0	0	0	0	0	0	0	0	0	0	1.22831308841705	0	0	0	0	0	0	8.64470863342285	0	0	0	0	0	0	0
OR1A1	0	6.6728720664978	0	0	0	0	1.21186518669128	0	0	7.12271499633789	0	1.40944314002991	0	0	3.66470098495483	0	0	0	0	0	0	0	6.50190258026123	0	2.94838333129883	0	0	0	0	3.71112871170044	0	0	8.64622592926025	0	4.31612634658814	0	0	0	1.51268422603607	0	0	0	0	0	0	0	0	0	0	0	0	4.3333010673523	0	3.11841678619385	0	2.41677498817444	1.83332908153534	0	0	0	2.44205236434937	0	6.28902435302734	0	0	0	0	8.78604888916016	1.31855797767639	0	1.99332296848297	2.53417897224426	4.19268369674683	4.70967817306519	0	1.62269961833954	0	0	8.26791858673096	0
LARP4	4.38166189193726	0	2.89091324806213	1.5801522731781	0	0	0.892953276634216	0	1.35200154781342	0	1.87055087089539	0.702613711357117	1.17101204395294	1.17680597305298	0	2.44288635253906	0	0	1.62986314296722	5.70004367828369	1.24664604663849	0.895265102386475	1.04414689540863	0	0	5.35641288757324	2.84364652633667	0	3.52733182907105	0	1.08447015285492	2.17604780197144	2.16942071914673	0	2.61583423614502	2.98866200447083	1.8884072303772	1.63934552669525	0	0	1.50413262844086	0	1.65373611450195	0	0	1.1619907617569	4.001296043396	0	2.37133049964905	0	1.67826247215271	1.74308156967163	0.721043705940247	2.28874635696411	1.28469789028168	0	3.34345746040344	0	1.83728528022766	2.2341730594635	1.97523772716522	6.45304107666016	0	1.74666142463684	0	2.45662617683411	0	5.24564504623413	0.874375283718109	0.841759979724884	2.07421731948853	0.999676108360291	1.23495841026306	0	2.95941638946533	0	0	1.18886852264404	0.978104650974274	1.4946106672287
PDZK1	0.730276942253113	0	0	1.5801522731781	0	0	0.911176800727844	0	0	0.844824492931366	0	0	4.68404817581177	7.06083583831787	0	0	0	0	0	0	0	0	0	0	0	1.7854710817337	0	0	0	0	0	5.44011974334717	0	0	0	0	0	0	1.80834937095642	0	1.50413262844086	3.74442028999329	0	0	0	0	0	0	0	3.81326699256897	0	0.871540784835815	0.721043705940247	0	1.28469789028168	1.87783622741699	0	0	0	0	0.658412575721741	0.717004597187042	0	0	7.46102714538574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KHDRBS1	0.730276942253113	0	2.89091324806213	3.95038056373596	2.49122285842896	1.86418688297272	0.455588400363922	1.65059745311737	4.05600452423096	0	3.74110174179077	0.702613711357117	0	1.17680597305298	0.987789988517761	6.10721588134766	1.37808465957642	0	0.814931571483612	0	1.24664604663849	1.79053020477295	4.17658758163452	0	0	0.892735540866852	1.42182326316834	3.94515705108643	4.4091649055481	3.18916821479797	5.42235088348389	2.17604780197144	8.67768287658691	3.66820669174194	5.23166847229004	5.23015880584717	3.77681446075439	0.819672763347626	1.80834937095642	7.56801509857178	6.01653051376343	1.87221014499664	4.13434028625488	0.847867965698242	0	2.32398152351379	2.000648021698	0	1.18566524982452	1.90663349628448	0	2.61462235450745	0	1.14437317848206	0	2.81675434112549	1.11448574066162	0	6.73671293258667	2.2341730594635	3.29206275939941	7.17004585266113	1.53703248500824	0	3.19758296012878	0	0.758992969989777	4.87211608886719	1.74875056743622	0.841759979724884	4.14843463897705	5.99805641174316	0	0	4.439124584198	5.01995277404785	0	5.94434261322022	2.93431401252747	2.9892213344574
U2AF1	0	0	0.970383167266846	0	0	0	0	17.3312740325928	8.11200904846191	12.6723670959473	0	4.56698942184448	0	0	0	0	9.64659214019775	0	0	0	0	0.911379873752594	0	2.39412498474121	0	0	0	0	0	0	11.3869361877441	4.35209560394287	5.95831394195557	0	0	5.58431482315064	0	9.6409912109375	0	5.29761028289795	0	0	0	0	8.64256191253662	0	0	0	0	0	0	0	0	0	7.06583881378174	0	12.4627370834351	0	0	0	0.658412575721741	0	0	3.53698968887329	1.28969180583954	0	0	2.43605804443359	0	0	1.63344621658325	0	6.17479181289673	0	0	0	3.23241496086121	0	0	0
