,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8
FMC1-LUC7L2,30.283892,0.0,2.525433,14.243557,0.0,0.0,0.0,20.872519,0.0,0.0,0.0,10.840488,28.796507,0.0,0.0,0.0,0.0,21.415443,0.0,0.0,0.0,2.150062,0.0,0.0,6.298231,0.0,0.0,0.0,7.719054,2.429154,0.0,0.0,0.0,0.0,5.818923,0.0,8.929266,9.314571,20.769981,14.754517,14.036982,19.988691,0.0,20.834448,0.0,0.0,0.0,6.435761,8.355723,0.0,13.114299,0.0,0.0,17.380358,21.46265,0.0,21.102133,22.17207,7.544524,0.0,27.491535,0.0,0.0,0.0,17.073574,11.064096,18.868397,8.804486,11.376773
AFP,0.0,0.730044,0.0,0.491247,0.0,8.41313,0.0,1.505502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.070908,0.0,0.0,0.75727,0.0,0.0,1.068407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.130945,4.022743,0.0,0.379802,1.927501,0.0,20.477299,0.188795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.882636,0.0,2.328443,0.0,0.0,0.0,0.0,0.0,0.710665,0.0,0.0,0.137139,0.0,0.0,0.0,0.721324
TTC21A,0.0,0.0,0.0,0.0,0.0,0.0,0.320261,0.0,0.066142,0.161659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.006719,0.0,0.686446,0.0,0.319408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243777,0.0,0.0,0.169496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.404092,0.0,0.0,0.0,0.0,8.359711,0.0,0.0,0.060303,0.0,0.135614,0.301485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.394961
KLK13,0.718703,0.463383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286718,0.0,7.170379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.678338,0.0,0.236878,0.0,0.95871,0.764016,0.456274,0.0,0.0,0.0,0.0,0.0,1.059741,0.0,0.0,2.165671,0.0,0.0,0.0,0.564939,9.038611,0.0,1.286813,0.0,0.836735,0.0,0.0,0.0,0.0,0.955132,0.0,0.0,0.753107,0.0,0.0,0.0,0.0,0.0,0.0
DDX55,6.989814,6.734688,7.982023,8.425532,8.997461,6.662323,15.523932,6.868926,9.927609,6.450594,9.532099,11.171297,12.399271,17.793308,8.158566,8.820089,2.434423,12.299617,9.999911,10.091273,5.671997,7.381609,17.189651,22.485773,10.790814,4.451688,19.473705,4.463723,13.832831,6.868427,5.944172,8.595014,15.549822,9.976956,4.098642,4.339464,5.842393,6.392924,14.566057,15.635976,6.562378,16.864779,15.239986,9.401523,4.123213,16.677895,6.240482,13.533632,7.372348,11.176978,4.515022,9.183458,14.27747,10.523709,8.767386,14.481331,10.390809,17.88611,8.390131,4.9205,4.6907,2.746696,4.142476,11.752213,2.316434,3.767553,3.472978,18.468847,12.841341
GGACT,0.0,0.0,0.136853,0.0,6.221019,0.129043,0.0,0.0,0.135431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115463,0.137228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238032
CBWD3,0.0,0.551859,1.558799,23.30288,0.560144,46.656986,0.985367,8.983722,3.118791,0.0,0.0,2.744401,0.273463,1.834732,0.907794,0.0,2.958964,0.0,1.526068,1.487559,1.532658,0.516357,4.310775,0.0,0.0,0.0,6.468583,1.023005,0.696735,0.0,1.553705,21.313196,48.08806,0.856452,0.0,4.913742,1.139035,25.854893,1.526615,13.953631,0.740634,4.419687,46.500774,1.503952,6.523212,0.0,15.133841,1.424736,0.677835,61.476,2.033798,32.660915,0.448869,0.0,1.891143,2.20474,0.870201,0.572582,29.811436,2.246316,70.47028,2.47666,0.985048,27.287867,2.171246,0.747248,14.988491,0.0,0.7033
LRMDA,0.0,8.829165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.521798,19.310688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39255,0.0,0.142395,0.0,2.713013,2.580402,7.86916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.479372
EIF4G2,57.09284,92.57499,140.53546,79.86698,75.66183,39.091633,66.29999,87.31103,56.696774,39.21215,160.19441,126.99312,150.25285,137.8133,61.547115,129.7341,143.927,136.03545,83.11057,113.91661,70.95418,70.938675,64.63388,94.799194,114.51588,120.71719,154.59373,89.14441,149.45326,69.48627,121.51293,155.63777,134.32843,139.45355,39.9079,102.215096,120.684364,74.12648,104.02357,81.19925,122.60241,75.31583,119.465195,142.33717,54.28068,120.15605,71.54677,145.92213,89.23375,126.7598,103.68068,136.68982,109.48432,94.250984,97.112564,117.27833,84.818726,150.29706,80.11915,88.51481,63.415115,53.964436,122.46812,60.095448,74.32999,127.36471,31.283243,116.40313,113.53149
CSF2RA,3.570913,1.343478,9.126203,2.135564,1.485526,2.393071,0.0,0.0,5.876989,0.0,2.847352,0.0,3.881416,0.0,0.0,1.51131,0.0,0.0,1.096192,1.734,0.0,1.909887,0.0,4.913945,5.229238,0.0,0.0,2.255812,2.483283,0.338813,0.0,10.207737,0.40051,26.495075,0.0,3.201993,3.995472,0.0,0.0,1.19626,7.045497,0.0,6.175304,0.0,0.0,13.854267,0.0,1.682729,0.147815,26.593607,1.022538,26.869541,1.977064,1.888015,0.0,4.075238,0.0,2.179346,0.0,1.422393,0.0,0.0,0.501495,0.0,1.7815,0.776961,0.0,0.0,0.0
