reg,target
RPS3,IL6ST
RPS3,MAP3K1
RPS3,SMIM15
RPS3,SLC30A5
RPS3,OCLN
RPS3,BTF3
RPS3,ENC1
RPS3,HEXB
RPS3,HMGCR
RPS3,IQGAP2
RPS3,F2RL1
RPS3,ARSB
RPS3,SERINC5
RPS3,RPS23
RPS3,COX7C
RPS3,PAM
RPS3,MAN2A1
RPS3,REEP5
RPS3,TMED7-TICAM2
RPS3,TMED7
RPS3,HSD17B4
RPS3,LOX
RPS3,LMNB1
RPS3,HINT1
RPS3,P4HA2
RPS3,UQCRQ
RPS3,HSPA4
RPS3,C5orf15
RPS3,VDAC1
RPS3,PPP2CA
RPS3,TXNDC15
RPS3,MACROH2A1
