Gene stable ID	Gene Name	ZFIN ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSDARG00000013721	g6pca.2	ZDB-GENE-050309-17	g6pca.2	563180	protein_coding
ENSDARG00000042536	si:dkey-48j7.3	ZDB-GENE-081104-418	si:dkey-48j7.3	100006525	protein_coding
ENSDARG00000040059	gbp	ZDB-GENE-990714-7	gbp	30719	protein_coding
ENSDARG00000074424	ibtk	ZDB-GENE-030131-6246	ibtk	572463	protein_coding
ENSDARG00000055154	slc8a4a	ZDB-GENE-060110-2	slc8a4a	568512	protein_coding
ENSDARG00000018691	phf2	ZDB-GENE-050302-10	phf2	503778	protein_coding
ENSDARG00000018890	snrpa	ZDB-GENE-030131-2841	snrpa	324121	protein_coding
ENSDARG00000016301	zgc:65894	ZDB-GENE-030131-7741	zgc:65894	335798	protein_coding
ENSDARG00000058738	si:ch211-117c9.2	ZDB-GENE-110408-11	si:ch211-117c9.2	557779	protein_coding
ENSDARG00000101392	pimr168	ZDB-GENE-041210-63			protein_coding
ENSDARG00000029292	zgc:55943	ZDB-GENE-040426-2013	zgc:55943	406337	protein_coding
ENSDARG00000075793	prex1	ZDB-GENE-030131-1428	prex1	570984	protein_coding
ENSDARG00000039222	mpl	ZDB-GENE-060421-1	mpl	445381	protein_coding
ENSDARG00000070092	KCNV1	ZDB-GENE-100922-109	si:dkey-201i6.2	559915	protein_coding
ENSDARG00000093131	si:ch211-57f7.7	ZDB-GENE-090313-119	si:ch211-57f7.7	101883039	protein_coding
ENSDARG00000038822	mrc1b	ZDB-GENE-070705-13	mrc1b	559502	protein_coding
ENSDARG00000034457	si:ch211-163l21.7	ZDB-GENE-081105-176	si:ch211-163l21.7	567726	protein_coding
ENSDARG00000012019	glra1	ZDB-GENE-991117-1	glra1	30676	protein_coding
ENSDARG00000001313	g2e3	ZDB-GENE-030616-400	g2e3	368848	protein_coding
ENSDARG00000036028	arrdc3b	ZDB-GENE-040912-182	arrdc3b	447866	protein_coding
ENSDARG00000102704	si:ch1073-376c22.1	ZDB-GENE-141210-15	si:ch1073-376c22.1	100000126	protein_coding
ENSDARG00000109695	pimr152	ZDB-GENE-081028-8			protein_coding
ENSDARG00000002267	dcaf13	ZDB-GENE-040426-703	dcaf13	393097	protein_coding
ENSDARG00000036500	fam122b	ZDB-GENE-040801-204	fam122b	445072	protein_coding
ENSDARG00000026017	xpnpep2	ZDB-GENE-040426-1151	xpnpep2	394007	protein_coding
ENSDARG00000005541	wif1	ZDB-GENE-990712-17	wif1	30476	protein_coding
ENSDARG00000096551	BX681416.1				lncRNA
ENSDARG00000061282	glg1a	ZDB-GENE-030131-6448	glg1a	792865	protein_coding
ENSDARG00000038687	nfkb2	ZDB-GENE-030131-6701	nfkb2	415100	protein_coding
ENSDARG00000088346	miip	ZDB-GENE-130620-1	miip	560634	protein_coding
ENSDARG00000062598	ltc4s	ZDB-GENE-110411-32	ltc4s	100535432	protein_coding
ENSDARG00000093677	si:ch211-56a11.2	ZDB-GENE-091204-123	si:ch211-56a11.2	101884119	protein_coding
ENSDARG00000031848	pparg	ZDB-GENE-990415-213	pparg	557037	protein_coding
ENSDARG00000104800	si:ch211-175m2.4	ZDB-GENE-141222-24	si:ch211-175m2.4	100334705	protein_coding
ENSDARG00000042899	ELAPOR1	ZDB-GENE-041008-93	si:ch211-163l21.8	449761	protein_coding
ENSDARG00000078057	snx8b	ZDB-GENE-090313-317	snx8b	799225	protein_coding
ENSDARG00000015997	mfsd5	ZDB-GENE-040718-468	mfsd5	436986	protein_coding
ENSDARG00000034610	insb	ZDB-GENE-040113-2	insb	566735	protein_coding
ENSDARG00000007172	plxna3	ZDB-GENE-070613-1	plxna3	567422	protein_coding
ENSDARG00000103223	BX908386.2				lncRNA
ENSDARG00000069376	tnfsf12	ZDB-GENE-060929-376	tnfsf12	567542	protein_coding
ENSDARG00000008142	stxbp3	ZDB-GENE-040426-2833	stxbp3	406780	protein_coding
ENSDARG00000104515	CU861667.1				lncRNA
ENSDARG00000029766	nr1i2	ZDB-GENE-030903-3	nr1i2	565875	protein_coding
ENSDARG00000098127	BX324212.1				lncRNA
ENSDARG00000089456	men1	ZDB-GENE-991110-12	men1	30130	protein_coding
ENSDARG00000057491	n4bp1	ZDB-GENE-030131-5538	n4bp1	327327	protein_coding
ENSDARG00000105096	si:ch1073-67j19.1	ZDB-GENE-141216-297	si:ch1073-67j19.1	100332348	protein_coding
ENSDARG00000015906	mxtx2	ZDB-GENE-000710-6	mxtx2	58078	protein_coding
ENSDARG00000097758	CU929206.2				lncRNA
ENSDARG00000011809	mical1	ZDB-GENE-081022-3	mical1	568573	protein_coding
ENSDARG00000093974	CR933734.2				lncRNA
ENSDARG00000070220	pou3f2a	ZDB-GENE-980526-139	pou3f2a	30547	protein_coding
ENSDARG00000070746	sft2d2a	ZDB-GENE-050227-13	sft2d2a	503601	protein_coding
ENSDARG00000095479	CR933734.3				lncRNA
ENSDARG00000044544	zgc:110782	ZDB-GENE-050320-51	zgc:110782	541358	protein_coding
ENSDARG00000100773	zmynd19	ZDB-GENE-030131-4460	zmynd19	325735	protein_coding
ENSDARG00000105338	CR931782.2				lncRNA
ENSDARG00000078308	spry2	ZDB-GENE-030131-7038	spry2	335098	protein_coding
ENSDARG00000068006	gck	ZDB-GENE-060825-204	gck	751668	protein_coding
ENSDARG00000078041	xpo1a	ZDB-GENE-050309-201	xpo1a	558395	protein_coding
ENSDARG00000003732	mitfa	ZDB-GENE-990910-11	mitfa	30080	protein_coding
ENSDARG00000069844	acod1	ZDB-GENE-081104-428	acod1	795305	protein_coding
ENSDARG00000093861	BX957345.1				lncRNA
ENSDARG00000095241	mybl2a	ZDB-GENE-980526-529	mybl2a	100005189	protein_coding
ENSDARG00000061804	si:ch211-194e15.5	ZDB-GENE-060503-393	si:ch211-194e15.5	100034579	protein_coding
ENSDARG00000098317	dync1li1	ZDB-GENE-030131-4108	dync1li1	556103	protein_coding
ENSDARG00000093141	BX004800.1				lncRNA
ENSDARG00000006797	nt5dc1	ZDB-GENE-030131-8274	nt5dc1	568757	protein_coding
ENSDARG00000057180	il17c	ZDB-GENE-061031-5	il17c	553960	protein_coding
ENSDARG00000092304	si:dkey-59l11.7	ZDB-GENE-060503-643			protein_coding
