Gene stable ID	Gene Name	ZFIN ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSDARG00000063011	antxr2b	ZDB-GENE-080213-4	antxr2b	560841	protein_coding
ENSDARG00000092771	BX530064.1				lncRNA
ENSDARG00000037373	ephb2a	ZDB-GENE-070713-2	ephb2a	562176	protein_coding
ENSDARG00000068704	or108-1	ZDB-GENE-070804-4	or108-1	100148965	protein_coding
ENSDARG00000055080	rbm4.2	ZDB-GENE-030131-3019	rbm4.2	557528	protein_coding
ENSDARG00000074727	dnajc10	ZDB-GENE-070327-1	dnajc10	557858	protein_coding
ENSDARG00000058815	ihhb	ZDB-GENE-980526-135	ihhb	30299	protein_coding
ENSDARG00000061095	stk36	ZDB-GENE-030912-6	stk36	566154	protein_coding
ENSDARG00000096567	si:ch211-155o21.4	ZDB-GENE-121214-169			protein_coding
ENSDARG00000076901	CR376751.1				lncRNA
ENSDARG00000021209	kctd9a	ZDB-GENE-050320-147	kctd9a	541442	protein_coding
ENSDARG00000078974	COA4	ZDB-GENE-141216-219	si:ch211-215a9.5	796017	protein_coding
ENSDARG00000100426	fam167b	ZDB-GENE-131121-390	fam167b	556719	protein_coding
ENSDARG00000024184	narf	ZDB-GENE-040718-31	narf	436614	protein_coding
ENSDARG00000096229	si:dkey-260c8.8	ZDB-GENE-030131-5375	si:dkey-260c8.8	561004	protein_coding
ENSDARG00000057093	kdm5ba	ZDB-GENE-030131-5379	kdm5ba	327168	protein_coding
ENSDARG00000076980	ppp1r16a	ZDB-GENE-121214-252	ppp1r16a	794494	protein_coding
ENSDARG00000092945	si:ch211-250g4.3	ZDB-GENE-060503-506	si:ch211-250g4.3	557772	protein_coding
ENSDARG00000079571	mfsd4b	ZDB-GENE-070410-26	mfsd4b	100037368	protein_coding
ENSDARG00000097414	si:ch211-106e7.2	ZDB-GENE-031116-72	si:ch211-106e7.2	100329241	protein_coding
ENSDARG00000042688	bora	ZDB-GENE-041114-165	bora	555606	protein_coding
ENSDARG00000057936	lhx5	ZDB-GENE-980526-484	lhx5	30465	protein_coding
ENSDARG00000101291	txndc11	ZDB-GENE-041008-112	txndc11	100330433	protein_coding
ENSDARG00000053323	zgc:112285	ZDB-GENE-050913-132	zgc:112285	561476	protein_coding
ENSDARG00000089525	si:dkeyp-98a7.5	ZDB-GENE-050208-360	si:dkeyp-98a7.4	798039	protein_coding
ENSDARG00000055629	dipk2ab	ZDB-GENE-070830-2	dipk2ab	100141362	protein_coding
ENSDARG00000055683	pimr191	ZDB-GENE-131119-3	LOC110437906	110437906	protein_coding
ENSDARG00000100782	f7l	ZDB-GENE-070424-102	f7l	100038778	protein_coding
ENSDARG00000016280	eif1ad	ZDB-GENE-040426-1199	eif1ad	393440	protein_coding
ENSDARG00000002487	noc3l	ZDB-GENE-030131-9878	noc3l	321289	protein_coding
ENSDARG00000103623	npy7r	ZDB-GENE-040924-9	npy7r	449010	protein_coding
ENSDARG00000041505	itm2bb	ZDB-GENE-040426-2139	itm2bb	406248	protein_coding
ENSDARG00000003877	pbrm1	ZDB-GENE-080926-4	pbrm1	565366	protein_coding
ENSDARG00000036987	has2	ZDB-GENE-020828-1	has2	260350	protein_coding
ENSDARG00000034768	phf3	ZDB-GENE-090313-207	phf3	553518	protein_coding
ENSDARG00000021889	gja3	ZDB-GENE-031217-3	gja3	387533	protein_coding
ENSDARG00000013670	hyou1	ZDB-GENE-030131-5344	hyou1	327133	protein_coding
ENSDARG00000096097	si:dkeyp-98a7.4	ZDB-GENE-050208-760	LOC100301575	100301575	protein_coding
ENSDARG00000020252	btbd10b	ZDB-GENE-080104-5	btbd10b	557247	protein_coding
ENSDARG00000096884	AL953866.1				lncRNA
ENSDARG00000038121	si:ch211-13k12.2	ZDB-GENE-061207-5	LOC565819	565819	protein_coding
ENSDARG00000056783	raraa	ZDB-GENE-980526-284	raraa	30680	protein_coding
ENSDARG00000056047	noxa1	ZDB-GENE-050913-32	noxa1	556318	protein_coding
ENSDARG00000079926	syt15	ZDB-GENE-090527-2	syt15	798021	protein_coding
ENSDARG00000040033	trmt11	ZDB-GENE-040426-953	trmt11	393185	protein_coding
ENSDARG00000096573	FP067451.1				lncRNA
ENSDARG00000097429	BX005461.3				lncRNA
ENSDARG00000087657	fasn	ZDB-GENE-030131-7802	ccdc57	100318317	protein_coding
ENSDARG00000011233	pcyt1aa	ZDB-GENE-050417-108	pcyt1aa	550327	protein_coding
ENSDARG00000095538	senp3a	ZDB-GENE-030131-2303	senp3a	564950	protein_coding
ENSDARG00000090309	ubxn1	ZDB-GENE-030131-792	ubxn1	322073	protein_coding
ENSDARG00000094323	BX294389.1				lncRNA
ENSDARG00000012577	waca	ZDB-GENE-030131-2624	waca	323904	protein_coding
ENSDARG00000076791	cdk13	ZDB-GENE-030131-4975	cdk13	108178997	protein_coding
ENSDARG00000040607	rtf2	ZDB-GENE-030131-4825	rtf2	326100	protein_coding
ENSDARG00000107226	si:dkeyp-98a7.3	ZDB-GENE-050208-679	LOC110437821	110437821	protein_coding
ENSDARG00000062483	lyve1b	ZDB-GENE-030131-9516	lyve1b	564249	protein_coding
ENSDARG00000021346	pdhb	ZDB-GENE-040426-2173	pdhb	406428	protein_coding
ENSDARG00000058090	cfap57	ZDB-GENE-110411-266	cfap57	100006472	protein_coding
ENSDARG00000079234	si:ch211-285c6.2	ZDB-GENE-040724-168	si:ch211-285c6.2	791193	protein_coding
ENSDARG00000045528	fgd6	ZDB-GENE-041210-200	fgd6	556459	protein_coding
ENSDARG00000096508	BX322618.1				lncRNA
ENSDARG00000089110	fam166c	ZDB-GENE-121119-1	fam166c	100149329	protein_coding
ENSDARG00000005883	rfx1a	ZDB-GENE-070424-94	rfx1a	100038773	protein_coding
ENSDARG00000078026	zcchc24	ZDB-GENE-030131-3573	zcchc24	562028	protein_coding
ENSDARG00000055292	atg9b	ZDB-GENE-091111-3	atg9b	791223	protein_coding
ENSDARG00000010296	kcnh6b	ZDB-GENE-121214-55			protein_coding
ENSDARG00000024540	tspan36	ZDB-GENE-040718-248	tspan36	437021	protein_coding
ENSDARG00000037517	slc35c2	ZDB-GENE-030131-2202	LOC101884357	101884357	protein_coding
ENSDARG00000035680	zgc:113424	ZDB-GENE-050227-9	zgc:113424	554876	protein_coding
ENSDARG00000079930	si:dkeyp-68b7.5	ZDB-GENE-070912-670	si:dkeyp-68b7.5	100150484	protein_coding
ENSDARG00000035695	scxa	ZDB-GENE-060503-414	scxa	100034489	protein_coding
ENSDARG00000044204	endou	ZDB-GENE-070112-2012	endou	791216	protein_coding
ENSDARG00000102710	CR848032.2				lncRNA
ENSDARG00000098020	BX005129.5				lncRNA
ENSDARG00000021739	klhl24a	ZDB-GENE-061013-572	klhl24a	768198	protein_coding
ENSDARG00000017985	C1H4orf33	ZDB-GENE-040426-1862	zgc:77739	393870	protein_coding
ENSDARG00000092709	CU463109.1				lncRNA
ENSDARG00000093129	si:rp71-45k5.2	ZDB-GENE-060503-753	si:rp71-45k5.2	560783	protein_coding
ENSDARG00000060442	tmem259	ZDB-GENE-080225-14	tmem259	571445	protein_coding
ENSDARG00000096970	BX119902.2				lncRNA
ENSDARG00000097556	cyp8b2	ZDB-GENE-080212-9	cyp8b2	100004274	protein_coding
ENSDARG00000099203	atp1b2a	ZDB-GENE-001127-2	atp1b2a	64269	protein_coding
ENSDARG00000006617	napga	ZDB-GENE-050320-46	napga	541353	protein_coding
ENSDARG00000003032	eif4a1b	ZDB-GENE-040120-6	eif4a1b	399484	protein_coding
ENSDARG00000092895	si:dkey-188i13.11	ZDB-GENE-090313-209	si:dkey-188i13.11	100004663	protein_coding
ENSDARG00000070478	amn1	ZDB-GENE-060825-13	amn1	751744	protein_coding
ENSDARG00000052677	si:ch211-138g9.2	ZDB-GENE-090311-41			protein_coding
ENSDARG00000096526	AL928650.2				lncRNA
ENSDARG00000102085	CT573793.2				lncRNA
ENSDARG00000110581	mapk4	ZDB-GENE-040426-2835	mapk4	406782	protein_coding
ENSDARG00000093768	prr18	ZDB-GENE-081107-6	prr18	101885898	protein_coding
ENSDARG00000101431	gas8	ZDB-GENE-030131-1980	gas8	323260	protein_coding
ENSDARG00000004785	cops2	ZDB-GENE-040625-15	cops2	415145	protein_coding
ENSDARG00000040445	si:ch211-219a4.3	ZDB-GENE-070424-157	si:ch211-219a4.3	791754	protein_coding
ENSDARG00000115564	si:ch211-271g18.4	ZDB-GENE-110914-58			protein_coding
ENSDARG00000099255	BX465836.2				lncRNA
ENSDARG00000069607	zgc:162331	ZDB-GENE-070410-75	zgc:162331	793007	protein_coding
ENSDARG00000096191	si:ch211-112b1.2	ZDB-GENE-110914-236			protein_coding
ENSDARG00000096850	BX957346.1		si:dkey-82f1.1	563917	lncRNA
ENSDARG00000097955	CT956066.1				lncRNA
ENSDARG00000097559	cyp8b3	ZDB-GENE-040912-153	cyp8b3	447848	protein_coding
ENSDARG00000057037	kcnk12l	ZDB-GENE-091118-74	kcnk12l	564796	protein_coding
ENSDARG00000094258	commd9	ZDB-GENE-070424-139	commd9	562660	protein_coding
ENSDARG00000071725	znf1167	ZDB-GENE-050208-547	znf1167	100034441	protein_coding
ENSDARG00000033099	kif7	ZDB-GENE-050307-1	kif7	544651	protein_coding
ENSDARG00000038563	pitrm1	ZDB-GENE-040426-2876	pitrm1	406808	protein_coding
ENSDARG00000042133	si:dkey-51e6.1	ZDB-GENE-041014-198	si:dkey-51e6.1	558617	protein_coding
ENSDARG00000095793	si:dkey-85n7.8	ZDB-GENE-110411-127	si:dkey-85n7.8	100330915	protein_coding
ENSDARG00000092480	vegfbb	ZDB-GENE-091204-285	vegfbb	100535766	protein_coding
ENSDARG00000093418	si:dkey-216e24.9	ZDB-GENE-070912-441	si:dkey-216e24.9	101883564	protein_coding
ENSDARG00000035152	ap2b1	ZDB-GENE-030131-6564	ap2b1	334632	protein_coding
ENSDARG00000098213	BX465836.1		LOC101886469	101886469	lncRNA
ENSDARG00000057437	apodb	ZDB-GENE-051023-8	apodb	567972	protein_coding
ENSDARG00000097111	CR762407.2				lncRNA
ENSDARG00000002959	gpr34b	ZDB-GENE-040823-1	gpr34b	791765	protein_coding
ENSDARG00000028159	tead1a	ZDB-GENE-040426-2101	tead1a	405773	protein_coding
ENSDARG00000094016	si:ch211-130h14.4	ZDB-GENE-081107-8	si:ch211-130h14.4	100318549	protein_coding
ENSDARG00000099277	znf1039	ZDB-GENE-110913-141			protein_coding
ENSDARG00000026759	ldlrb	ZDB-GENE-040426-1254	ldlrb	393460	protein_coding
ENSDARG00000057032	ppm1nb	ZDB-GENE-071004-34	ppm1nb	564875	protein_coding
ENSDARG00000101910	pcdh20	ZDB-GENE-091204-115	pcdh20	568796	protein_coding
ENSDARG00000059809	caska	ZDB-GENE-020802-4	caska	259195	protein_coding
ENSDARG00000060085	kcnq3	ZDB-GENE-070912-301	kcnq3	799747	protein_coding
ENSDARG00000097126	CR854927.3				lncRNA
ENSDARG00000093950	BX530407.2				lncRNA
ENSDARG00000015676	nmd3	ZDB-GENE-050320-149	nmd3	541444	protein_coding
ENSDARG00000100247	CU929199.1				protein_coding
ENSDARG00000097736	CR628365.1				lncRNA
ENSDARG00000028163	prg4b	ZDB-GENE-041014-324	prg4b	553377	protein_coding
ENSDARG00000035907	fam49al	ZDB-GENE-040801-125	fam49al	445212	protein_coding
ENSDARG00000019920	lft1	ZDB-GENE-990630-10	lft1	30145	protein_coding
ENSDARG00000042727	exo5	ZDB-GENE-051113-108	exo5	641427	protein_coding
ENSDARG00000041947	styk1b	ZDB-GENE-030131-3435	styk1b	324714	protein_coding
ENSDARG00000052528	CR762407.1				lncRNA
ENSDARG00000052271	slc22a18	ZDB-GENE-051120-165	slc22a18	559752	protein_coding
ENSDARG00000101623	znf1109	ZDB-GENE-110914-77			protein_coding
ENSDARG00000040608	gcnt7	ZDB-GENE-120919-3	gcnt7	101886707	protein_coding
ENSDARG00000036305	phf23b	ZDB-GENE-030131-5895	phf23b	100004597	protein_coding
ENSDARG00000012060	thbs3b	ZDB-GENE-060503-84	thbs3b	571317	protein_coding
ENSDARG00000052527	mul1b	ZDB-GENE-050208-236	mul1b	100004181	protein_coding
ENSDARG00000002385	atm	ZDB-GENE-040809-1	atm	403064	protein_coding
ENSDARG00000098857	lifra	ZDB-GENE-050327-16	lifra	541493	protein_coding
ENSDARG00000097720	BX005129.3		LOC103911265	103911265	lncRNA
ENSDARG00000034559	srpx2	ZDB-GENE-110411-231	srpx2	100332730	protein_coding
ENSDARG00000032820	rxfp2a	ZDB-GENE-040426-1225	rxfp2a	792884	protein_coding
ENSDARG00000073802	cntnap5l	ZDB-GENE-140106-102	cntnap5l	798019	protein_coding
ENSDARG00000010555	pdha1b	ZDB-GENE-040718-96	pdha1b	436672	protein_coding
ENSDARG00000091867	CR936300.1				lncRNA
ENSDARG00000056649	htatsf1	ZDB-GENE-040426-1578	htatsf1	394178	protein_coding
ENSDARG00000100494	pbx1a	ZDB-GENE-000405-1	pbx1a	58138	protein_coding
ENSDARG00000036748	nitr8	ZDB-GENE-041001-7	nitr8	449534	protein_coding
ENSDARG00000071680	loxl5a	ZDB-GENE-070705-186	loxl5a	567769	protein_coding
ENSDARG00000070222	fam43b	ZDB-GENE-040912-11	fam43b	447808	protein_coding
ENSDARG00000030634	pimr189	ZDB-GENE-081104-447			protein_coding
ENSDARG00000104489	CR855389.2				lncRNA
ENSDARG00000044092	atp5if1b	ZDB-GENE-050506-113	atp5if1b	558368	protein_coding
ENSDARG00000093931	rflnb	ZDB-GENE-090409-1	rflnb	100286814	protein_coding
ENSDARG00000102433	sytl4	ZDB-GENE-070209-217	sytl4	553322	protein_coding
ENSDARG00000038987	si:dkey-31m5.5	ZDB-GENE-070912-517			protein_coding
ENSDARG00000007444	ift81	ZDB-GENE-040714-3	ift81	432390	protein_coding
ENSDARG00000098671	prelid1a	ZDB-GENE-040426-1341	prelid1a	393337	protein_coding
ENSDARG00000098827	CT573793.1				lncRNA
ENSDARG00000002230	sypb	ZDB-GENE-040718-205	sypb	436774	protein_coding
ENSDARG00000037140	pfkfb1	ZDB-GENE-030131-5664	pfkfb1	327453	protein_coding
ENSDARG00000021462	daw1	ZDB-GENE-050419-255	daw1	556760	protein_coding
ENSDARG00000089021	si:dkey-7f16.3	ZDB-GENE-131120-59			protein_coding
ENSDARG00000032552	march5	ZDB-GENE-070424-47	march5	561952	protein_coding
ENSDARG00000095400	si:ch73-52f15.5	ZDB-GENE-091204-341	si:ch73-52f15.5	100150557	protein_coding
ENSDARG00000091909	si:ch73-59c19.1	ZDB-GENE-100922-247			protein_coding
ENSDARG00000043402	zgc:171480	ZDB-GENE-080204-83	zgc:171480	564733	protein_coding
ENSDARG00000098644	si:ch211-126j24.1	ZDB-GENE-050208-133	si:ch211-126j24.1	571137	protein_coding
ENSDARG00000097042	CR759845.2		LOC101886755	101886755	lncRNA
ENSDARG00000044203	sumf1	ZDB-GENE-060421-3113	sumf1	553423	protein_coding
ENSDARG00000016664	rnf20	ZDB-GENE-130404-2	rnf20	402838	protein_coding
ENSDARG00000087920	nitr10a	ZDB-GENE-041001-5	nitr10a	794686	protein_coding
ENSDARG00000004232	dlb	ZDB-GENE-980526-114	dlb	30141	protein_coding
ENSDARG00000044093	rpl13a	ZDB-GENE-030131-168	rpl13a	560828	protein_coding
ENSDARG00000100729	tln1	ZDB-GENE-031002-48	tln1	494453	protein_coding
ENSDARG00000097966	BX936420.1				lncRNA
ENSDARG00000031761	dab2	ZDB-GENE-040303-1	dab2	404040	protein_coding
ENSDARG00000104111	mrps30	ZDB-GENE-050809-4	mrps30	555760	protein_coding
ENSDARG00000027750	dpp7	ZDB-GENE-050306-16	dpp7	503737	protein_coding
ENSDARG00000113712	si:dkey-31m5.5	ZDB-GENE-070912-517			protein_coding
ENSDARG00000086457	tnfaip8l1	ZDB-GENE-040426-695	tnfaip8l1	393303	protein_coding
ENSDARG00000006849	asic2	ZDB-GENE-040513-4	asic2	407669	protein_coding
ENSDARG00000100740	CU179702.2				lncRNA
ENSDARG00000079438	pkp3b	ZDB-GENE-130530-870	pkp3b	100330353	protein_coding
ENSDARG00000058585	chst2b	ZDB-GENE-060720-33	chst2b	100006249	protein_coding
ENSDARG00000088656	si:ch211-212k18.6	ZDB-GENE-130530-938			protein_coding
ENSDARG00000079062	samd1b	ZDB-GENE-090313-2	samd1b	101884198	protein_coding
ENSDARG00000077467	sox10	ZDB-GENE-011207-1	sox10	140616	protein_coding
ENSDARG00000028333	nitr9	ZDB-GENE-041001-6	nitr9.1	641579	protein_coding
ENSDARG00000071679	mydgf	ZDB-GENE-040718-183	mydgf	436753	protein_coding
ENSDARG00000007708	nsa2	ZDB-GENE-030131-488	nsa2	321769	protein_coding
ENSDARG00000096747	BX296562.2				lncRNA
ENSDARG00000103361	tshz3b	ZDB-GENE-100319-2	tshz3b	565811	protein_coding
ENSDARG00000095304	si:ch211-207c6.2	ZDB-GENE-060526-90			protein_coding
ENSDARG00000100386	si:dkey-61p9.9	ZDB-GENE-041210-240			protein_coding
ENSDARG00000035883	nt5c1aa	ZDB-GENE-070705-423	nt5c1aa	562627	protein_coding
ENSDARG00000030478	zgc:66484	ZDB-GENE-030131-5768	zgc:66484	327557	protein_coding
ENSDARG00000073896	cx47.1	ZDB-GENE-040912-134	cx47.1	447835	protein_coding
ENSDARG00000105373	CABZ01058277.1				lncRNA
ENSDARG00000098350	mxd3	ZDB-GENE-040426-1588	mxd3	394031	protein_coding
ENSDARG00000006266	stat1a	ZDB-GENE-980526-499	stat1a	30768	protein_coding
ENSDARG00000093619	sult3st2	ZDB-GENE-030131-1135	sult3st2	322415	protein_coding
ENSDARG00000105220	CT573285.1				lncRNA
ENSDARG00000103274	AL645792.1				lncRNA
ENSDARG00000096053	CR788248.1				lncRNA
ENSDARG00000104445	CT573793.3				lncRNA
ENSDARG00000099471	CT476811.1				lncRNA
ENSDARG00000041802	rnf141	ZDB-GENE-040625-71	rnf141	414846	protein_coding
ENSDARG00000111046	znf1116	ZDB-GENE-110914-47			protein_coding
ENSDARG00000101483	CT027586.1				lncRNA
ENSDARG00000101586	si:ch73-389b16.1	ZDB-GENE-120215-152	si:ch73-389b16.1	100331788	protein_coding
ENSDARG00000011317	adra1ba	ZDB-GENE-120510-1	adra1ba	100149100	protein_coding
ENSDARG00000074846	si:dkeyp-68b7.12	ZDB-GENE-141212-333	si:dkeyp-68b7.12	100151151	protein_coding
ENSDARG00000075569	gpbp1l1	ZDB-GENE-031118-220	gpbp1l1	799876	protein_coding
ENSDARG00000002748	sema6d	ZDB-GENE-040426-1933	sema6d	406272	protein_coding
ENSDARG00000104466	CT573799.2				lncRNA
ENSDARG00000103961	poln	ZDB-GENE-100917-1	poln	566857	protein_coding
ENSDARG00000008131	sox1b	ZDB-GENE-060322-5	sox1b	562710	protein_coding
ENSDARG00000039806	tbxtb	ZDB-GENE-081028-48	tbxtb	100004296	protein_coding
ENSDARG00000004771	ankrd10b	ZDB-GENE-061013-49	ankrd10b	559527	protein_coding
ENSDARG00000102256	si:dkey-157e10.6	ZDB-GENE-110913-118			protein_coding
ENSDARG00000026448	med29	ZDB-GENE-021217-1	med29	797134	protein_coding
ENSDARG00000096599	AL928650.3				lncRNA
ENSDARG00000019707	spout1	ZDB-GENE-040912-53	spout1	447888	protein_coding
ENSDARG00000101368	cngb3.2	ZDB-GENE-091118-102	LOC562466	562466	protein_coding
ENSDARG00000103486	CT573799.1				lncRNA
ENSDARG00000060103	cpeb3	ZDB-GENE-090312-68	cpeb3	100005268	protein_coding
ENSDARG00000091911	CR974461.1				lncRNA
ENSDARG00000014480	nr6a1b	ZDB-GENE-040724-202	nr6a1b	497167	protein_coding
ENSDARG00000003175	stx5al	ZDB-GENE-030131-1825	stx5al	323105	protein_coding
ENSDARG00000099981	si:ch1073-228h2.2	ZDB-GENE-141216-371			protein_coding
ENSDARG00000100563	BX323453.1				lncRNA
ENSDARG00000092422	CR854838.1				lncRNA
ENSDARG00000086826	sult6b1	ZDB-GENE-050417-228	sult6b1	322462	protein_coding
ENSDARG00000100771	si:ch211-160d14.15	ZDB-GENE-141216-220			protein_coding
ENSDARG00000099426	CU179702.1				pseudogene
ENSDARG00000058801	rev3l	ZDB-GENE-050302-55	rev3l	569100	protein_coding
ENSDARG00000002607	unm_sa1614	ZDB-GENE-120411-1	unm_sa1614	561879	protein_coding
ENSDARG00000101165	si:dkey-157e10.8	ZDB-GENE-110914-202			protein_coding
ENSDARG00000103252	si:busm1-169i8.11	ZDB-GENE-040724-188	LOC110438755	110438755	protein_coding
ENSDARG00000006891	kcns3a	ZDB-GENE-080723-45	kcns3a	565375	protein_coding
ENSDARG00000052866	htt	ZDB-GENE-990415-131	htt	30214	protein_coding
ENSDARG00000092522	nnt2	ZDB-GENE-091204-5	nnt2	108179934	protein_coding
ENSDARG00000069251	zpax1	ZDB-GENE-030131-5968	zpax1	334036	protein_coding
ENSDARG00000076223	SERP1	ZDB-GENE-040718-312	zgc:92744	436846	protein_coding
ENSDARG00000103653	CU179757.1				pseudogene
ENSDARG00000103536	BX546503.1				lncRNA
ENSDARG00000016611	scrn3	ZDB-GENE-030131-4783	scrn3	326058	protein_coding
ENSDARG00000054980	ebna1bp2	ZDB-GENE-030131-6989	ebna1bp2	335049	protein_coding
ENSDARG00000099187	purg	ZDB-GENE-070702-3	purg	569414	protein_coding
ENSDARG00000006786	copz2	ZDB-GENE-000406-5	copz2	57969	protein_coding
ENSDARG00000036080	cd81a	ZDB-GENE-000831-5	cd81a	58031	protein_coding
ENSDARG00000024631	nlrc5	ZDB-GENE-080429-2	nlrc5	100535184	protein_coding
ENSDARG00000099748	si:ch73-46n24.1	ZDB-GENE-141222-60			protein_coding
ENSDARG00000101997	si:dkey-191j3.2	ZDB-GENE-081103-55	LOC108183322	108183322	protein_coding
ENSDARG00000089187	wfdc2	ZDB-GENE-090313-47	wfdc2	556600	protein_coding
ENSDARG00000030591	lrrc42	ZDB-GENE-030131-4992	lrrc42	326793	protein_coding
ENSDARG00000070600	dyrk3	ZDB-GENE-080219-31	dyrk3	100141364	protein_coding
ENSDARG00000053481	entpd5a	ZDB-GENE-100419-1	entpd5a	556849	protein_coding
ENSDARG00000043093	mpeg1.2	ZDB-GENE-050522-305	mpeg1.2	553612	protein_coding
ENSDARG00000094627	DYNLT1	ZDB-GENE-060503-292			protein_coding
ENSDARG00000027353	zmym2	ZDB-GENE-030131-2408	zmym2	570149	protein_coding
ENSDARG00000041575	trmt10c	ZDB-GENE-041114-12	trmt10c	492460	protein_coding
ENSDARG00000071492	fbxo45	ZDB-GENE-040426-1450	fbxo45	393567	protein_coding
ENSDARG00000012030	dnaaf1	ZDB-GENE-031114-4	dnaaf1	386722	protein_coding
ENSDARG00000088895	si:dkeyp-98a7.7	ZDB-GENE-050208-520	si:dkeyp-98a7.7	100537102	protein_coding
ENSDARG00000036743	nitr7a	ZDB-GENE-041001-9	nitr7a	494571	protein_coding
ENSDARG00000090480	ccdc17	ZDB-GENE-120424-1	ccdc17	100001132	protein_coding
ENSDARG00000057714	cmah	ZDB-GENE-040704-33	cmah	431739	protein_coding
ENSDARG00000018270	olfm1a	ZDB-GENE-040718-194	olfm1a	436764	protein_coding
ENSDARG00000046141	zgc:162025	ZDB-GENE-070424-17	zgc:162025	571775	protein_coding
ENSDARG00000061362	dipk1ab	ZDB-GENE-131126-27	dipk1ab	797682	protein_coding
ENSDARG00000103866	nitr3r.1l	ZDB-GENE-030616-364	nitr3r.1l	101885312	protein_coding
ENSDARG00000077863	mettl22	ZDB-GENE-081022-70	mettl22	796066	protein_coding
ENSDARG00000098193	znf998	ZDB-GENE-110913-164			protein_coding
ENSDARG00000029865	rassf2a	ZDB-GENE-040912-124	rassf2a	447938	protein_coding
ENSDARG00000003229	gdf9	ZDB-GENE-050221-7	gdf9	497643	protein_coding
ENSDARG00000003270	dhps	ZDB-GENE-040426-2001	dhps	406329	protein_coding
ENSDARG00000098626	nitr12	ZDB-GENE-041001-1	nitr12	557932	protein_coding
ENSDARG00000044090	zmpste24	ZDB-GENE-030131-6312	zmpste24	334380	protein_coding
ENSDARG00000071491	nrros	ZDB-GENE-040808-36	nrros	445318	protein_coding
ENSDARG00000058968	haus1	ZDB-GENE-091204-387	haus1	553389	protein_coding
ENSDARG00000005518	slc5a9	ZDB-GENE-080513-3	slc5a9	564815	protein_coding
ENSDARG00000079080	etfbkmt	ZDB-GENE-111107-1	etfbkmt	100005455	protein_coding
ENSDARG00000062132	cyp4v8	ZDB-GENE-061103-601	cyp4v8	558851	protein_coding
ENSDARG00000092898	si:ch211-157j23.3	ZDB-GENE-091117-36	si:dkey-105h11.2	100006583	protein_coding
ENSDARG00000070097	selenos	ZDB-GENE-060804-1	selenos	735249	protein_coding
ENSDARG00000061385	haus3	ZDB-GENE-060929-592	haus3	566923	protein_coding
ENSDARG00000097564	si:ch73-190f9.4	ZDB-GENE-131122-94	si:ch73-190f9.4	100332833	protein_coding
ENSDARG00000016866	fam102ab	ZDB-GENE-060929-412	fam102ab	767674	protein_coding
ENSDARG00000098842	BX005073.1				lncRNA
ENSDARG00000038297	aspdh	ZDB-GENE-040912-102	aspdh	447919	protein_coding
ENSDARG00000043339	abraxas1	ZDB-GENE-041010-70	abraxas1	449820	protein_coding
ENSDARG00000089207	ankrd27	ZDB-GENE-121105-1	ankrd27	386887	protein_coding
ENSDARG00000095224	camkmt	ZDB-GENE-090313-49	si:ch73-54n14.2	796749	protein_coding
ENSDARG00000075866	cdcp2	ZDB-GENE-070705-485	cdcp2	567759	protein_coding
ENSDARG00000088507	znf982	ZDB-GENE-131120-1	znf982	100331424	protein_coding
ENSDARG00000008727	ranbp3a	ZDB-GENE-040426-1132	ranbp3a	394115	protein_coding
ENSDARG00000009470	hnf1a	ZDB-GENE-021206-12	hnf1a	266961	protein_coding
ENSDARG00000069624	mrps18c	ZDB-GENE-060503-609	mrps18c	569841	protein_coding
ENSDARG00000102728	CR762480.2				lncRNA
ENSDARG00000092713	ENSDARG00000092713	ZDB-GENE-090313-305			protein_coding
ENSDARG00000018782	kdm4aa	ZDB-GENE-110609-4	kdm4aa	100003413	protein_coding
ENSDARG00000016875	gys1	ZDB-GENE-040426-1243	gys1	394155	protein_coding
ENSDARG00000096598	BX322618.2				lncRNA
ENSDARG00000092635	si:ch211-51e8.2	ZDB-GENE-091118-125			protein_coding
ENSDARG00000020986	ctu1	ZDB-GENE-040426-704	ctu1	393098	protein_coding
ENSDARG00000091900	si:ch73-54n14.2	ZDB-GENE-090313-164			protein_coding
ENSDARG00000094866	pimr152	ZDB-GENE-081028-8			protein_coding
ENSDARG00000001975	hsd11b2	ZDB-GENE-030131-6030	hsd11b2	334098	protein_coding
ENSDARG00000099593	r3hcc1	ZDB-GENE-091204-146	r3hcc1	798778	protein_coding
ENSDARG00000087994	si:ch211-114c17.1	ZDB-GENE-140106-201	si:ch211-114c17.1	100334796	protein_coding
ENSDARG00000062650	rif1	ZDB-GENE-030131-3406	rif1	567001	protein_coding
ENSDARG00000039490	pitpnaa	ZDB-GENE-040426-744	pitpnaa	393909	protein_coding
ENSDARG00000104141	si:dkey-262j3.7	ZDB-GENE-141215-8			protein_coding
ENSDARG00000091215	rpz2	ZDB-GENE-030131-9071	rpz2	100270758	protein_coding
ENSDARG00000037646	rgs11	ZDB-GENE-080220-46	rgs11	559197	protein_coding
ENSDARG00000071548	josd1	ZDB-GENE-060929-260	josd1	767655	protein_coding
ENSDARG00000075428	BX547992.1				protein_coding
ENSDARG00000011890	cry4	ZDB-GENE-010426-7	cry4	83775	protein_coding
ENSDARG00000099964	BX005073.2				lncRNA
ENSDARG00000098067	AL929457.2				lncRNA
