Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) ID	Type
WBGene00012268	W04G5.8	189203	protein_coding
WBGene00012269	W04G5.9	189204	protein_coding
WBGene00012270	W04G5.10	173049	protein_coding
WBGene00012271	W05B2.2	189208	protein_coding
WBGene00012272	dhc-4	189209	protein_coding
WBGene00012274	W05B5.1	173177	protein_coding
WBGene00012275	npr-14	189211	protein_coding
WBGene00012276	his-74	179734	protein_coding
WBGene00012277	ccch-3	179733	protein_coding
WBGene00012278	W05B10.3	179735	protein_coding
WBGene00012279	W05B10.4	179736	protein_coding
WBGene00012280	W05E10.1	179602	protein_coding
WBGene00012281	W05E10.2	189214	protein_coding
WBGene00012282	W05E10.5	3565965	protein_coding
WBGene00012283	W05H5.1	189222	protein_coding
WBGene00012285	pitr-6	174883	protein_coding
WBGene00012286	sre-35	189225	protein_coding
WBGene00012287	sre-33	189226	protein_coding
WBGene00012288	sre-32	189227	protein_coding
WBGene00012289	W05H12.1	173210	protein_coding
WBGene00012290	WBGene00012290		pseudogene
WBGene00012291	W06A7.2	189231	protein_coding
WBGene00012293	W06A7.4	189232	protein_coding
WBGene00012294	nspa-8	179980	protein_coding
WBGene00012295	nmat-1	189236	protein_coding
WBGene00012296	spe-46	189238	protein_coding
WBGene00012297	W06D4.3	189239	protein_coding
WBGene00012298	prmt-7	172727	protein_coding
WBGene00012299	W06D11.1	189242	protein_coding
WBGene00012300	W06D11.2	181389	protein_coding
WBGene00012301	W06D11.3	189243	protein_coding
WBGene00012302	dot-1.3	189244	protein_coding
WBGene00012303	W06D11.5	189245	protein_coding
WBGene00012304	cutl-4	189246	protein_coding
WBGene00012305	W06D12.6	189248	protein_coding
WBGene00012306	W06F12.2	176809	protein_coding
WBGene00012307	W06F12.3	189253	protein_coding
WBGene00012308	oac-53	189254	protein_coding
WBGene00012309	W06G6.2	189255	protein_coding
WBGene00012310	mltn-11	189257	protein_coding
WBGene00012311	W06G6.9	189259	protein_coding
WBGene00012312	W06G6.10	189260	protein_coding
WBGene00012313	W06G6.11	189261	protein_coding
WBGene00012314	W06G6.12	189262	protein_coding
WBGene00012315	immt-2	180122	protein_coding
WBGene00012316	ctps-1	189267	protein_coding
WBGene00012317	ztf-6	173014	protein_coding
WBGene00012318	srxa-1	189271	protein_coding
WBGene00012319	ipla-3	180354	protein_coding
WBGene00012320	WBGene00012320		pseudogene
WBGene00012321	srxa-6	189273	protein_coding
WBGene00012322	W07A12.4	174454	protein_coding
WBGene00012323	oac-54	189275	protein_coding
WBGene00012324	rhy-1	174455	protein_coding
WBGene00012325	W07A12.8	3564798	protein_coding
WBGene00012326	W07E11.1	181223	protein_coding
WBGene00012328	W07G1.1	189278	protein_coding
WBGene00012329	sre-44	189279	protein_coding
WBGene00012330	zip-3	189280	protein_coding
WBGene00012332	rpi-1	189281	protein_coding
WBGene00012333	sre-43	189282	protein_coding
WBGene00012334	W07G1.7	175046	protein_coding
