Gene stable ID	Gene Name	GenBank ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
FBgn0266671	Sec6	AA820779	37142	37142	protein_coding
FBgn0015828	TfIIEalpha	AI114337	39313	39313	protein_coding
FBgn0039214	puf	BT001360	42935	42935	protein_coding
FBgn0085371	CG34342		5740152	5740152	protein_coding
FBgn0262869	Gfrl	AY128415	3346162	3346162	protein_coding
FBgn0014851	Eig71Ek	U24575	39712	39712	protein_coding
FBgn0264922	smt3	AF218862	33981	33981	protein_coding
FBgn0051957	CG31957	CZ488134	319046	319046	protein_coding
FBgn0266179	lncRNA:CR44885		19836010	19836010	lncRNA
FBgn0267733	lncRNA:CR46064		26067381	26067381	lncRNA
FBgn0267441	lncRNA:CR45791		26067122	26067122	lncRNA
FBgn0011481	Ssdp	AA803865	42177	42177	protein_coding
FBgn0038463	CG3534	AQ073105	42047	42047	protein_coding
FBgn0259216	RhoGAP102A	CX309566	43781	43781	protein_coding
FBgn0030581	CG14408	AJ570732	32407	32407	protein_coding
FBgn0085349	CR34320		5740595	5740595	pseudogene
FBgn0034617	Panx	AY061239	37434	37434	protein_coding
FBgn0031270	CG13689		33241	33241	protein_coding
FBgn0029822	CG12236	AY060324	31523	31523	protein_coding
FBgn0035383	CPT2	CZ485213	38355	38355	protein_coding
FBgn0029951	CG11369	AI945882	31675	31675	protein_coding
FBgn0261434	hkb	BI373257	40549	40549	protein_coding
FBgn0031144	CG1529	AY119274	33077	33077	protein_coding
FBgn0263625	lncRNA:CR43634		12798267	12798267	lncRNA
FBgn0266535	lncRNA:CR45096		19835171	19835171	lncRNA
FBgn0038439	Cad89D	BT010226	42006	42006	protein_coding
FBgn0010772	Xe7	BI241587	40699	40699	protein_coding
FBgn0051907	Mst27D	AI944887	319019	319019	protein_coding
FBgn0038180	Cht5	AI295304	41687	41687	protein_coding
FBgn0037427	Osi17	BI231606	40774	40774	protein_coding
FBgn0261616	CG42705		10178898	10178898	protein_coding
FBgn0262484	CG43074		12798579	12798579	protein_coding
FBgn0287613	lncRNA:CR46482				lncRNA
FBgn0031240	CG3345	CZ489348	33192	33192	protein_coding
FBgn0262897	lncRNA:CR43252		19835097	19835097	lncRNA
FBgn0034458	Ir56d	BI230847	37252	37252	protein_coding
FBgn0004666	sim	M19020	41612	41612	protein_coding
FBgn0266033	lncRNA:CR44798		19835090	19835090	lncRNA
FBgn0011648	Mad	AQ034169	33529	33529	protein_coding
FBgn0037341	CG12746	AI945447	40672	40672	protein_coding
FBgn0037841	CG4565		41303	41303	protein_coding
FBgn0083008	snoRNA:Psi28S-1135e	AJ629196	5740486	5740486	sncRNA
FBgn0032229	ClpP	AI114139	34402	34402	protein_coding
FBgn0053548	SmydA-8	AI389142	31200	31200	protein_coding
FBgn0263999	CG43742		14462622	14462622	protein_coding
FBgn0267261	lncRNA:CR45697		19836257	19836257	lncRNA
FBgn0259214	PMCA	CX309646	43787	43787	protein_coding
FBgn0029716	CG3546	AI294950	31389	31389	protein_coding
FBgn0029955	CG15478	BI166632	31679	31679	protein_coding
FBgn0031470	CG18557		33483	33483	protein_coding
FBgn0031970	CG7227	AY060651	34088	34088	protein_coding
FBgn0038082	Ugt37A2		41573	41573	protein_coding
FBgn0000562	egl	AQ024993	37757	37757	protein_coding
FBgn0262457	mir-1015		12798525	12798525	sncRNA
FBgn0267823	Gmer	AA802053	37638	37638	protein_coding
FBgn0033027	TpnC4	AJ512938	35498	35498	protein_coding
FBgn0030674	HUWE1	AI531961	32510	32510	protein_coding
FBgn0065092	snmRNA:438	AJ544040	3771973	3771973	sncRNA
FBgn0267211	lncRNA:CR45651		19836136	19836136	lncRNA
FBgn0014380	RhoL	AQ073762	41136	41136	protein_coding
FBgn0031150	bves	CZ486224	33083	33083	protein_coding
