Gene stable ID	Gene Name	Xenbase ID	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
ENSXETG00000039320	qrich1l2	XB-GENE-22169597	qrich1l2	101734985	protein_coding
ENSXETG00000039026	ENSXETG00000039026				protein_coding
ENSXETG00000045781	ENSXETG00000045781		LOC116408256	116408256	protein_coding
ENSXETG00000001628	plod2	XB-GENE-1006449	plod2	100489636	protein_coding
ENSXETG00000008408	canx	XB-GENE-5735140	canx	448161	protein_coding
ENSXETG00000035930	btd	XB-GENE-982203	btd	100489727	protein_coding
ENSXETG00000016103	fsd2	XB-GENE-487381	fsd2	100497548	protein_coding
ENSXETG00000001994	ano1	XB-GENE-5967576	ano1	100170550	protein_coding
ENSXETG00000019215	hpgds	XB-GENE-944778	hpgds	448666	protein_coding
ENSXETG00000027354	snrpd1	XB-GENE-5789948	snrpd1	447999	protein_coding
ENSXETG00000016025	cyth4	XB-GENE-984788	cyth4	100485819	protein_coding
ENSXETG00000043253	ENSXETG00000043253		LOC101731011	101731011	protein_coding
ENSXETG00000033852	ENSXETG00000033852		simc1	100491558	protein_coding
ENSXETG00000004251	scn5a	XB-GENE-6037407	scn5a	100485924	protein_coding
ENSXETG00000000796	mms22l	XB-GENE-5932293	mms22l	100158637	protein_coding
ENSXETG00000014492	smarcc1	XB-GENE-5906750	smarcc1	100188924	protein_coding
ENSXETG00000036602	ENSXETG00000036602				protein_coding
ENSXETG00000019214	smarcad1	XB-GENE-492700	smarcad1	548414	protein_coding
ENSXETG00000007885	cdc5l	XB-GENE-983551	cdc5l	493564	protein_coding
ENSXETG00000016099	whamm	XB-GENE-993498	whamm	100496908	protein_coding
ENSXETG00000039330	znf71	XB-GENE-6458940	znf71	779749	protein_coding
ENSXETG00000008407	ltc4s.2	XB-GENE-981579	ltc4s.2	100127769	protein_coding
ENSXETG00000022052	sppl2a	XB-GENE-993495	sppl2a	100135083	protein_coding
ENSXETG00000023782	rock2	XB-GENE-959451	rock2	100493965	protein_coding
ENSXETG00000004425	dennd5a	XB-GENE-970289	dennd5a	100158564	protein_coding
ENSXETG00000004539	trmt1l	XB-GENE-940324	trmt1l	100491429	protein_coding
ENSXETG00000040596	ENSXETG00000040596		LOC100498204	100498204	protein_coding
ENSXETG00000031523	opn8	XB-GENE-983567	opn8	100493595	protein_coding
ENSXETG00000006704	sigirr	XB-GENE-492815	sigirr	100486638	protein_coding
ENSXETG00000033805	cfap43	XB-GENE-6464245	cfap43	100491900	protein_coding
ENSXETG00000039484	ENSXETG00000039484		LOC101733761	101733761	protein_coding
ENSXETG00000036803	dele1	XB-GENE-6464213	dele1	100493316	protein_coding
ENSXETG00000003827	fam13b	XB-GENE-983583	fam13b	100492110	protein_coding
ENSXETG00000026022	rnf2	XB-GENE-981241	rnf2	407872	protein_coding
ENSXETG00000023280	grid2	XB-GENE-955038	grid2	100487676	protein_coding
ENSXETG00000015336	hmgcl	XB-GENE-1002069	hmgcl	100494904	protein_coding
ENSXETG00000008989	ankrd28	XB-GENE-5857499	ankrd28	734050	protein_coding
ENSXETG00000016094	homer2	XB-GENE-1016661	homer2	548808	protein_coding
ENSXETG00000047312	exog	XB-GENE-981839	exog	100486077	protein_coding
ENSXETG00000035452	ENSXETG00000035452				protein_coding
ENSXETG00000045985	foxn2		foxn2	549771	protein_coding
ENSXETG00000014393	stag1	XB-GENE-1006155	stag1	100158523	protein_coding
ENSXETG00000047009	znf84-like	XB-GENE-22041760	znf84-like	780269	protein_coding
ENSXETG00000031217	wnt2	XB-GENE-486595	wnt2	100038261	protein_coding
ENSXETG00000002724	eprs1	XB-GENE-966791	eprs1	100145057	protein_coding
ENSXETG00000030967	ENSXETG00000030967		LOC100488076	100488076	protein_coding
ENSXETG00000006703	fen1	XB-GENE-955518	fen1	549759	protein_coding
ENSXETG00000029939	mmut	XB-GENE-1011226	mmut	100379804	protein_coding
ENSXETG00000022337	arl10		arl10	394641	protein_coding
ENSXETG00000004629	rac2	XB-GENE-494950	rac2	496738	protein_coding
ENSXETG00000031723	ENSXETG00000031723		LOC101732933	101732933	protein_coding
ENSXETG00000003826	wnt8a	XB-GENE-493706	wnt8a	549962	protein_coding
ENSXETG00000011814	tf	XB-GENE-480506	tf	613079	protein_coding
ENSXETG00000021791	asz1	XB-GENE-986015	asz1	100158503	protein_coding
ENSXETG00000034208	ENSXETG00000034208		LOC100487167	100487167	protein_coding
ENSXETG00000000110	eya4	XB-GENE-485487	eya4	100487615	protein_coding
ENSXETG00000027540	tmem258		tmem258	448722	protein_coding
ENSXETG00000022342	nop16	XB-GENE-991038	nop16	100124769	protein_coding
ENSXETG00000000794	klhl32	XB-GENE-5858956	klhl32	549611	protein_coding
ENSXETG00000033968	chrnb4	XB-GENE-985370	chrnb4	100497893	protein_coding
ENSXETG00000025132	tm6sf1	XB-GENE-958245	tm6sf1	780287	protein_coding
ENSXETG00000002217	sanbr	XB-GENE-993252	sanbr	100379770	protein_coding
ENSXETG00000008405	ctnna1	XB-GENE-479599	ctnna1	100493479	protein_coding
ENSXETG00000003825	nme5	XB-GENE-951087	nme5	780075	protein_coding
ENSXETG00000048288	ENSXETG00000048288				pseudogene
ENSXETG00000038781	ccser1	XB-GENE-6044979	ccser1	100488162	protein_coding
ENSXETG00000042338	ENSXETG00000042338				pseudogene
ENSXETG00000004541	edem3	XB-GENE-5811499	edem3	100145667	protein_coding
ENSXETG00000032075	ENSXETG00000032075				protein_coding
ENSXETG00000047903	ENSXETG00000047903				pseudogene
ENSXETG00000008988	galnt15	XB-GENE-982198	galnt15	100489899	protein_coding
ENSXETG00000018341	myot	XB-GENE-955641	myot	549913	protein_coding
ENSXETG00000046477	ENSXETG00000046477				pseudogene
ENSXETG00000022343	arl3l2	XB-GENE-5842996	arl3l2	100145266	protein_coding
ENSXETG00000002212	pex13	XB-GENE-1013577	pex13	733832	protein_coding
ENSXETG00000047840	ENSXETG00000047840				pseudogene
ENSXETG00000032104	ENSXETG00000032104		LOC100491917	100491917	protein_coding
ENSXETG00000021796	cftr	XB-GENE-853972	cftr	100486085	protein_coding
ENSXETG00000006028	c15orf40	XB-GENE-946779	c15orf40	448285	protein_coding
ENSXETG00000015330	ube2q2	XB-GENE-5858741	ube2q2	448322	protein_coding
ENSXETG00000043149	ENSXETG00000043149				pseudogene
ENSXETG00000049098	sstr3	XB-GENE-984793	sstr3	100488886	protein_coding
ENSXETG00000048507	ENSXETG00000048507				pseudogene
ENSXETG00000043770	ENSXETG00000043770				pseudogene
ENSXETG00000040751	e2f6	XB-GENE-482439	e2f6	100494302	protein_coding
ENSXETG00000041032	ENSXETG00000041032				protein_coding
ENSXETG00000043300	IL2RB		il2rb	101731938	protein_coding
ENSXETG00000036624	sacm1l	XB-GENE-920710	sacm1l	100497354	protein_coding
ENSXETG00000025397	cystm1	XB-GENE-5727646	cystm1	549193	protein_coding
ENSXETG00000046798	ENSXETG00000046798				pseudogene
ENSXETG00000008404	hspa9	XB-GENE-960228	hspa9	407910	protein_coding
ENSXETG00000006702	myrf	XB-GENE-1020968	myrf	100486798	protein_coding
ENSXETG00000049307	ENSXETG00000049307				pseudogene
ENSXETG00000000114	tcf21	XB-GENE-484805	tcf21	100126209	protein_coding
ENSXETG00000025778	oxnad1	XB-GENE-971236	oxnad1	100124914	protein_coding
ENSXETG00000020305	ppp1r9a	XB-GENE-493280	ppp1r9a	100496337	protein_coding
ENSXETG00000022652	ppp1r21	XB-GENE-986658	ppp1r21	100493219	protein_coding
ENSXETG00000039889	ENSXETG00000039889				pseudogene
ENSXETG00000011117	ENSXETG00000011117				protein_coding
ENSXETG00000043036	ENSXETG00000043036				pseudogene
ENSXETG00000014497	slc22a13	XB-GENE-959647	slc22a13	100491580	protein_coding
ENSXETG00000013720	eif4a3.1	XB-GENE-5773453	eif4a3.1	100135173	protein_coding
ENSXETG00000049349	ENSXETG00000049349				pseudogene
ENSXETG00000030542	fbxo22	XB-GENE-5932688	fbxo22	780359	protein_coding
ENSXETG00000018918	pccb	XB-GENE-993785	pccb	613054	protein_coding
ENSXETG00000002210	PUS10				protein_coding
ENSXETG00000022281	pcdh7	XB-GENE-1007357	pcdh7	100124985	protein_coding
ENSXETG00000040272	ENSXETG00000040272		LOC116411620	116411620	protein_coding
ENSXETG00000000116	tbpl1	XB-GENE-488460	tbpl1	448323	protein_coding
ENSXETG00000045135	ENSXETG00000045135				pseudogene
ENSXETG00000035674	mei1	XB-GENE-6035304	mei1	100491257	protein_coding
ENSXETG00000049459	ENSXETG00000049459				pseudogene
ENSXETG00000033082	rftn1	XB-GENE-6456562	rftn1	100127747	protein_coding
ENSXETG00000044849	ENSXETG00000044849				pseudogene
ENSXETG00000002263	ttc28	XB-GENE-998938	ttc28	100485210	protein_coding
ENSXETG00000038708	synpo2l	XB-GENE-6467118	synpo2l	100497269	protein_coding
ENSXETG00000018337	ankhd1	XB-GENE-6083386	ankhd1	779490	protein_coding
ENSXETG00000043920	ENSXETG00000043920				pseudogene
ENSXETG00000038103	IL20RB		il20rb	101734011	protein_coding
ENSXETG00000016087	btbd1	XB-GENE-969035	btbd1	100170424	protein_coding
ENSXETG00000043936	ENSXETG00000043936				protein_coding
ENSXETG00000015485	mycn	XB-GENE-478859	mycn	448649	protein_coding
ENSXETG00000044307	msl2	XB-GENE-5773362	msl2	100125142	protein_coding
ENSXETG00000020299	pon2	XB-GENE-491654	pon2	448598	protein_coding
ENSXETG00000030656	arap2	XB-GENE-991948	arap2	100494395	protein_coding
ENSXETG00000026306	h1-3	XB-GENE-5734164	h1-3	549700	pseudogene
ENSXETG00000036048	ENSXETG00000036048		LOC101730779	101730779	protein_coding
ENSXETG00000021813	cttnbp2	XB-GENE-985979	cttnbp2	100127854	protein_coding
