Gene stable ID	Gene Name	NCBI gene (formerly Entrezgene) accession	NCBI gene (formerly Entrezgene) ID	Type
AT4G27585	AT4G27585	AT4G27585	828868	protein_coding
AT1G06830	AT1G06830	AT1G06830	837195	protein_coding
AT4G33625	AT4G33625	AT4G33625	829503	protein_coding
AT1G21780	AT1G21780	AT1G21780	838782	protein_coding
AT3G03380	DEG7	DEG7	821268	protein_coding
AT4G37750	ANT	ANT	829931	protein_coding
AT1G57613	AT1G57613	AT1G57613	7922345	protein_coding
AT1G24560	AT1G24560	AT1G24560	839070	protein_coding
AT1G35670	CDPK2	CDPK2	840471	protein_coding
AT5G15130	WRKY72	WRKY72	831365	protein_coding
AT5G11540	GulLO3	GulLO3	831026	protein_coding
AT5G10260	RABH1e	RABH1e	830890	protein_coding
AT4G34430	CHB3	CHB3	829594	protein_coding
AT3G13898	AT3G13898	AT3G13898	10723043	protein_coding
AT3G57350	AT3G57350	AT3G57350	824902	protein_coding
AT4G26650	AT4G26650	AT4G26650	828772	protein_coding
AT1G44960	AT1G44960	AT1G44960	841061	protein_coding
AT3G16712	AT3G16712	AT3G16712	6240279	protein_coding
AT2G44940	AT2G44940	AT2G44940	819103	protein_coding
AT2G22790	AT2G22790	AT2G22790	816809	protein_coding
AT3G03300	DCL2	DCL2	821300	protein_coding
AT3G54065	AT3G54065	AT3G54065	28719404	protein_coding
AT2G01910	ATMAP65-6	ATMAP65-6	814722	protein_coding
AT4G30090	AT4G30090	AT4G30090	829132	protein_coding
AT4G22660	AT4G22660	AT4G22660	828362	protein_coding
AT1G45160	AT1G45160	AT1G45160	841084	protein_coding
AT2G03690	AT2G03690	AT2G03690	814897	protein_coding
AT1G16190	RAD23A	RAD23A	838188	protein_coding
AT2G25344	LCR14	LCR14	3767750	protein_coding
AT1G76140	AT1G76140	AT1G76140	843946	protein_coding
AT2G01110	APG2	APG2	814640	protein_coding
AT2G18465	AT2G18465	AT2G18465	816361	protein_coding
AT5G46220	AT5G46220	AT5G46220	834664	protein_coding
AT5G07180	ERL2	ERL2	830609	protein_coding
AT1G56010	NAC1	NAC1	842052	protein_coding
AT1G61700	AT1G61700	AT1G61700	842467	protein_coding
AT2G19430	DWA1	DWA1	816462	protein_coding
AT1G12150	AT1G12150	AT1G12150	837767	protein_coding
AT5G09390	AT5G09390	AT5G09390	830798	protein_coding
AT1G70380	AT1G70380	AT1G70380	843374	protein_coding
AT1G06923	AT1G06923	AT1G06923	3766672	protein_coding
AT1G47840	HXK3	HXK3	841200	protein_coding
AT1G52325	AT1G52325	AT1G52325	841663	protein_coding
AT5G54420	AT5G54420	AT5G54420	835530	protein_coding
AT5G37930	AT5G37930	AT5G37930	833772	protein_coding
AT3G11340	UGT76B1	UGT76B1	820307	protein_coding
AT3G52990	AT3G52990	AT3G52990	824465	protein_coding
AT4G35375	AT4G35375	AT4G35375	28720206	protein_coding
AT3G07270	AT3G07270	AT3G07270	819915	protein_coding
AT3G46380	AT3G46380	AT3G46380	823785	protein_coding
AT4G16447	AT4G16447	AT4G16447	827342	protein_coding
AT4G02060	PRL	PRL	828153	protein_coding
AT5G23550	AT5G23550	AT5G23550	832421	protein_coding
AT4G26190	AT4G26190	AT4G26190	828725	protein_coding
AT1G80930	AT1G80930	AT1G80930	844433	protein_coding
AT5G15440	EDL1	EDL1	831397	protein_coding
AT1G60930	AT1G60930			pseudogene
AT5G48660	AT5G48660	AT5G48660	834924	protein_coding
AT3G53470	AT3G53470	AT3G53470	824515	protein_coding
AT5G49870	AT5G49870	AT5G49870	835050	protein_coding
AT2G14830	AT2G14830	AT2G14830	28718274	protein_coding
AT5G58784	AT5G58784	AT5G58784	835994	protein_coding
