,A10,A2,A3,A4,A5,A6,A7,A8,A9,B1,B2,B4,B5,B6,B7,B8,B9,C1,C2,C3,C4,C5,C6,C7,C8,C9,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,E9,F1,F2,F3,F4,F5,F6,F7,F8,F9,G1,G2,G3,G4,G5,G6,G7,G8,G9,H1,H2,H3,H4,H5,H6,H7,H8
AKAP8L,2.6303844,2.1070292,1.62493,1.6795794,2.6922228,3.1972694,2.7798753,2.5381505,2.8614898,2.109995,1.3139441,1.7006683,0.66068804,2.7174509,1.3948858,2.5721226,2.9862883,1.224911,2.398836,2.0291324,2.4564903,2.047436,2.5020564,2.7856953,1.9357609,2.5020983,1.8909559,2.6252134,2.8264554,2.536645,1.5209789,3.165562,2.4869435,2.9886155,1.1868972,2.1162133,2.0710006,2.8639793,1.8423514,1.2523475,2.2329004,2.9426644,2.7202084,2.6574533,2.9172757,2.1003504,3.0038867,1.8506644,1.7926023,1.3942555,1.9438444,2.1089585,2.6614065,1.2549095,3.2917795,0.6113675,2.2835474,3.110789,1.3783703,1.6514932,2.447537,2.335909,2.9619377,2.0750403,2.5573182,1.3420562,2.172605,3.2668912,2.031301
H2AC11,3.0459695,2.8528838,2.889674,2.5517828,4.442933,3.490786,3.163424,3.2499614,4.449603,4.2085185,2.6219804,2.9284024,3.5076687,2.6243336,4.3213344,3.3949924,3.171362,5.2200317,3.853942,3.8151426,3.9029946,2.953229,4.8012896,3.6644804,2.6967885,3.6231537,4.6283917,2.9607515,2.7786262,3.8302233,3.0822597,2.4958804,4.7412567,3.4997754,4.2388487,4.1214986,4.252231,3.9485228,3.739322,4.43516,4.0091414,3.7571883,4.4987464,3.8570967,2.8648257,4.0714216,2.0864577,3.6512077,3.1225271,4.353245,4.169942,4.0931334,4.052008,4.0029373,3.805591,3.31206,4.3709154,1.7010849,4.3665786,3.989918,4.349847,2.4897103,2.9872875,2.3061848,3.781302,3.5648966,4.538804,2.69814,3.1290364
TBC1D2B,0.39394772,0.0,0.0,0.0,1.8917493,0.71553814,2.6843126,0.0,1.1763067,0.9126606,1.172676,0.18002643,2.371931,0.0,0.29778263,0.39933234,0.043510538,0.34881505,0.47455823,0.12891814,1.6127534,0.5327642,0.13530508,0.80913264,0.2870006,0.0,0.2247846,0.12402573,1.033688,0.5392708,0.19394705,0.6318764,0.23513536,0.12525284,1.154286,0.0,2.6316109,0.063323095,0.22537225,0.93077177,0.99353355,0.15510622,0.5352886,0.4750005,1.2886691,1.1825738,0.21336065,0.06410374,0.08735223,0.36530054,0.07206667,1.0257803,0.041895974,0.78649634,0.42426395,0.25886428,0.5201667,0.5540449,0.06753808,0.08662347,2.9932637,0.27147645,0.2939777,0.75411713,0.35785553,0.0,0.67437,0.0,1.1726636
DIRAS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.669806,0.0,0.0,0.0,1.8305509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6884979,2.0606692,0.0,0.0,0.0,1.277521,0.0,1.6559951,0.0,0.0,2.489647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SYCP2,0.0,0.0,0.0,0.0,0.0,0.0759244,0.0,0.0,0.0,0.0,0.0,0.0,1.659418,0.0,0.0,0.0,0.91017044,0.0,0.0,0.0,0.0,0.0,2.2822595,0.0,0.0,0.0,0.68024933,0.0,0.0,1.4092951,0.0,0.0,0.0,0.0,0.65430135,1.8287263,0.0,0.0,0.0,0.0,0.0,1.7845645,0.0,0.5298662,0.0,0.8583162,0.0,0.0,0.0,0.0,0.0,0.23680106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41640836,0.0,0.0
CALCRL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5906509,2.1401849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6454228,0.0,0.0,0.0,1.3721159,0.0,0.0,0.0,0.0,0.8575139,0.0,0.0,0.0,0.83363277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.109802,0.0,0.0,0.0
TEX41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7151268,1.5886586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6933722,1.0502985,0.0,0.0,0.0,0.83390427,1.0806156,0.9835597,0.9768871,0.6768323,0.0,0.0,0.0,0.0,1.8710308,0.0,0.0,0.5026802,0.5248723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8035232,0.0,0.0,2.6127741,0.0,0.0,1.0364822,0.0,0.12493429
FXR2,0.9572834,1.1164083,0.44662115,2.4443953,0.20626023,0.29230013,0.99700326,1.7829816,0.75075924,1.912345,1.0585709,0.21405679,1.8930517,0.67822945,0.5042172,1.3666465,1.350779,0.8674752,1.9981164,1.1968158,1.6335644,0.5347433,0.9359255,1.2927035,0.6590137,0.54818094,0.62568015,1.5153191,0.80932355,0.2687867,0.9454359,2.0712252,1.337342,1.3566375,1.6451684,0.6279156,0.7207006,2.0947952,1.2770449,0.4523862,0.6565983,1.6024945,0.36347717,0.6998626,2.7787836,0.22118403,0.14204715,0.9080783,0.46390885,0.9634941,0.5733761,2.2350178,0.7150476,0.92478573,0.67873585,0.61605066,0.9956171,2.230267,0.98194325,0.358887,1.5429296,0.83183855,0.8090462,1.0577552,1.3775358,1.3898333,0.33228347,1.3443635,0.54527575
LINC02484,1.9490764,0.7996032,0.0,0.0,1.64494,0.0,1.663068,1.0253152,0.0,2.3122509,0.0,0.0,1.6227,0.4309509,0.45301577,0.0,0.0,0.32266232,0.9643282,1.7438855,1.9980849,2.5760891,1.7412834,0.805915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6179519,2.3515606,2.3129797,1.5664147,1.5203577,1.1128021,1.052154,2.0060058,1.3298537,1.3052868,0.45852172,0.0,3.3519473,0.5744543,1.4036374,0.0,0.0,0.90064335,0.7814973,0.8137604,1.8759059,0.0,1.7879256,0.0,2.066373,1.5114751,1.6867075,0.0,0.0,0.0,0.0,1.1679549,1.5354958,1.8541865,0.821904,0.98524016,1.7521633,1.2555413
R3HDM4,1.6045502,1.7394676,1.2528464,3.9702795,1.5421559,1.6424954,2.9391634,1.7769367,1.6836238,1.7712141,1.188894,1.7218561,1.6899172,1.978216,0.95371985,1.218783,1.7900659,2.0247197,2.1128073,1.7045588,1.6402676,2.0806267,1.3608583,1.152462,1.0438994,1.8035599,3.023033,1.6586274,1.6453822,1.2634041,1.4581354,1.5600479,1.250661,1.4267801,1.3799075,2.306862,1.3770018,1.8903532,1.7269745,1.4721125,1.8133885,1.7167004,1.0130247,1.7936043,1.4551934,0.6950469,1.7906971,1.4037939,1.496608,1.7767776,2.6890469,1.6265587,1.426588,1.3598423,1.3968215,2.2552624,1.688586,2.013547,1.3172725,1.8338509,2.8815198,1.114232,0.93423164,1.0819364,1.2615526,0.3456613,1.2664114,1.7296112,1.8883626
SCMH1,0.9352585,1.9324259,0.7210882,0.91816735,0.2168824,3.0692818,1.0949252,0.0,2.0400546,1.726797,3.032311,0.08681052,0.5901234,1.1942806,2.278144,0.6958565,1.5576841,1.8965071,0.5642707,1.420543,0.67738765,1.2095792,1.4991772,0.7166708,1.4278132,1.678935,1.1806062,2.9338589,0.92744666,0.72440016,0.5261045,0.80055344,1.7197825,1.6474626,0.54223883,2.6922245,1.6975673,0.97321194,0.5730272,1.2282938,1.9956338,2.3058264,2.2558062,2.9817212,0.631963,0.56127614,1.2691677,1.2829404,3.1025825,1.7356671,0.5698399,2.5304565,1.6351286,0.6769014,1.7337011,1.2125562,1.8292114,1.7710536,1.5325087,0.5317946,0.7541746,0.56306124,0.27030346,0.0,2.0173523,0.2155242,1.4366626,1.4582217,0.90842706
ANKRA2,0.0,1.4082736,2.708398,0.0,0.0,1.9589767,1.2280035,2.11298,0.0,1.1804082,0.52216786,2.9230213,0.7847678,0.0,0.8794512,0.19369827,0.0,0.9381618,0.0,0.35845664,1.4590902,1.9745749,0.8490396,0.0,0.18206403,1.2242559,2.2722826,2.3010788,0.0,1.737458,0.0,1.9494717,0.48845792,0.8872273,0.0,0.30136526,0.26884705,0.39406165,0.74723047,0.0,2.2577546,1.3659518,0.0,0.5177766,2.6525855,1.0888993,0.90487176,0.0,0.0,0.2731992,0.2820945,0.0,0.0,0.0,1.6389725,1.1942751,0.6634892,1.1855066,0.9400764,0.35494062,0.0,2.4316897,0.41679534,1.9736818,0.5533476,0.72667724,0.0,0.79183483,0.1908633
